web-scraper-order,web-scraper-start-url,rooms_area_price_raw,address_raw,price_raw,description_raw,text_raw
"1695389157-68","https://www.immoscout24.ch/de/wohnung/mieten/ort-winterthur?pn=4","4,5 Zimmer, 85 m², CHF 1910.—","Euelstrasse 55, 8408 Winterthur, ZH","CHF 1910.—","«Grosszügige 4,5-Zimmer-Familienwohnung im Erdgeschoss»","Für diese gemütliche Wohnung suchen wir per 1.11.2023 einen neuen Mieter. Die Überbauung befindet sich in der Nähe der Schule und dem Schwimmbad Wülflingen und bietet viel Grünfläche und einen Spielplatz.Die Wohnung wird Sie mit folgenden Eigenschaften für sich gewinnen:- Wohnzimmer, Essbereich und Korridor mit Parkettboden- Alle Schlafzimmer mit Laminatboden- offene Küche mit Glaskeramik- Einbauschränke im Korridor- Bodenheizung- sonniger Sitzplatz- KEIN Geschirrspüler (Eigener Geschirrspüler kann mit Bewilligung eingebaut werden.)Lage:Die Bus"
"1695389157-69","https://www.immoscout24.ch/de/wohnung/mieten/ort-winterthur?pn=4","75 m², CHF 1880.—","Burgstrasse 142, 8408 Winterthur, ZH","CHF 1880.—","«Exklusive Dachloft!»","Neuwertige Dachloft - Wohnung zur Miete.Einzigartig, in Bezug auf Lage, Grundriss, Materialisierung. Freie, unverbaubare Sicht auf Obstbaumwiese und Wald, lichtvoll, urban, ruhig und sonnig.Wohnküche mit Miele Geräten.Elegantes Badezimmer mit Badewanne und eigenem Waschtrockner.Garten zur gemeinsamen Nutzung. Kein BalkonParkplatz und Garagenbox nach Bedarf.Gut geeignet für Single oder Paare.Mitten in Winterthur: 5 Fussminuten zur Bushaltestelle Oberfeld, 2 Minuten zum Autobahnanschluss, 7 Velominuten zum HB-Winterthur.Bezugsbereitschaft: per De"
"1695389157-70","https://www.immoscout24.ch/de/wohnung/mieten/ort-winterthur?pn=4","2 Zimmer, 61 m², CHF 1990.—","Neumarkt 7, 8400 Winterthur, ZH","CHF 1990.—","«Helle Altstadtwohnung mit Balkon und Galeriegeschoss»",""
"1695389157-71","https://www.immoscout24.ch/de/wohnung/mieten/ort-winterthur?pn=4","2,5 Zimmer, 98 m², CHF 1600.—","Hofmannstr. 7, 8405 Winterthur, ZH","CHF 1600.—","«Grosszügige 2.5-Zimmer-Wohnung in Winterthur»","- gepflegte Liegenschaft- im Grünen- Wohnbereich Parkett- Zimmer Textilbodenbelag- offene Küche mit Essbereich- Bad/WC- Einbauschrank- Galerie (27 m2)- Balkon- im 1.OG, kein Lift- Keller-/Estrichabteil- Haustierhaltung auf Anfrage Einstellplätze à Fr. 120.--/mtl. vorhanden(Die Bilder entsprechen dem Standard und können vom Original abweichen)"
"1695389157-72","https://www.immoscout24.ch/de/wohnung/mieten/ort-winterthur?pn=4","3,5 Zimmer, 76 m², CHF 1946.—","Reismühlestr. 3, 8409 Winterthur, ZH","CHF 1946.—","«Gemütlich und modern am Eulachpark»","Innert wenigen Gehminuten gelangen Sie zum Bahnhof Oberwinterthur. Auch der Eulachpark ist bequem zu Fuss erreichbar. Die Liegenschaft wurde 2018 umfassend saniert. Die Wohnung überzeugt mit folgenden Eigenschaften:  - Helle Räume - Moderne, offene Küche mit Geschirrspüler und Sichtbackofen - Gesamte Wohnung mit Parkettboden ausgestattet - Eigener Waschturm in der Wohnung (Waschmaschine und Tumbler) - Modernes Badezimmer mit Badewanne und Fenster - Sonniger Balkon - Glasfaseranschluss - Kellerabteil vorhanden - Lift vorhanden  Zur Allgemeinnutz"
"1695389160-73","https://www.immoscout24.ch/de/wohnung/mieten/ort-winterthur?pn=3","3,5 Zimmer, 86 m², CHF 1764.—","Endlikerstrasse 69, 8400 Winterthur, ZH","CHF 1764.—","«Wohnen an ruhiger, zentraler Lage»","Könnte das Ihr neues Zuhause sein? In ruhiger und dennoch zentraler Lage vermieten wir diese grosszügige Wohnung. Die schöne Dachwohnung ist folgendermassen ausgestattet:Wohnzimmer: Parkettboden und CheminéeEsszimmer: Parkettboden, BodenheizungSchlafzimmer: Parkettboden, BodenheizungKüche: Novilonboden, Schiebetüre, grosser Kühlschrank mit Gefrierschrank, Glaskeramik-Herd, GeschirrspülerBad/WC: Plattenboden, Lavabo, Spiegelschrankgrosser BalkonLiftKeller- und EstrichabteilSpielplatz Die Liegenschaft wird im Frühjahr 2024 saniert. Die Sanierung"
"1695389160-74","https://www.immoscout24.ch/de/wohnung/mieten/ort-winterthur?pn=3","2,5 Zimmer, 70 m², CHF 1615.—","Wülflingerstrasse 349, 8408 Winterthur, ZH","CHF 1615.—","«Zentrale Wohnung zu vermieten»","Wir vermieten eine schöne 2.5-Zimmer-Dachwohnung in Winterthur. Von hier aus sind Sie bestens angeschlossen und erreichen St. Gallen, Zürich und den Flughafen innert Kürze. Die helle Wohnung überzeugt durch:- Schönen Parkettboden- Helle Küche mit Granitabdeckung und Geschirrspüler- Grosszügiges Badezimmer mit eigener Waschmaschine und Tumbler- Einbauschrank- Reduit- Lift vorhanden- Einstellplätze können für CHF 130.00/Monat dazu gemietet werden- Hautiere sind erlaubt- Super Lage, die Badi, Schulen, Shops und vieles mehr finden Sie in der nähere"
"1695389160-75","https://www.immoscout24.ch/de/wohnung/mieten/ort-winterthur?pn=3","3,5 Zimmer, 74 m², CHF 1920.—","Hohfurristrasse 91, 8408 Winterthur, ZH","CHF 1920.—","«Traumhafte 3.5-Zimmerwohnung in Wülflingen zu vermieten»","Wir vermieten per 01. Januar 2024 diese schöne 3.5-Zimmerwohnung mit grossem Balkon und wunderbarer Aussicht ins Grüne. Die Liegenschaft wurde im 2014 neu erstellt und befindet sich an ruhiger Lage im Grünen und mit direktem Zugang zum Naherholungsgebiet Brüelberg. Das Zentrum Wülflingen ist zu Fuss in ca. 10 Minuten erreichbar. Der Autobahnanschluss Richtung Zürich/St. Gallen ist ebenfalls innert Kürze zu erreichen. Die ungefähre Fahrzeit mit der Buslinie Nr. 2 in die Altstadt Winterthur dauert ca. 15 bis 20 Minuten. Wülflingen verfügt über ei"
"1695389160-76","https://www.immoscout24.ch/de/wohnung/mieten/ort-winterthur?pn=3","4,5 Zimmer, 96 m², CHF 2615.—","Eichenweg 83, 8408 Winterthur, ZH","CHF 2615.—","«Schöne 4.5-Zimmerwohnung mit Aussicht auf Winterthur»","Wir vermieten per 01. November 2023 diese schöne 4.5-Zimmerwohnung im 2.OG mit Balkon. Die Liegenschaft wurde im 2014 neu erstellt und befindet sich an ruhiger Lage im Grünen und mit direktem Zugang zum Naherholungsgebiet Brüelberg. Das Zentrum Wülflingen ist zu Fuss in ca. 10 Minuten erreichbar. Der Autobahnanschluss Richtung Zürich/St. Gallen ist ebenfalls innert Kürze zu erreichen. Die ungefähre Fahrzeit mit der Buslinie Nr. 2 in die Altstadt Winterthur dauert ca. 15 - 20 Minuten. Wülflingen verfügt über einen eigenen Zugbahnhof. Diese moder"
"1695389160-77","https://www.immoscout24.ch/de/wohnung/mieten/ort-winterthur?pn=3","3,5 Zimmer, 89 m², CHF 2815.—","Theaterstrasse 27a, 8400 Winterthur, ZH","CHF 2815.—","«zentrale Attikawohnung im Eigentumsstandard»","Zentrale Wohnung im Eigentumsstandart direkt neben dem Swisscom-Tower in Winterthur zu vermieten.In wenigen Gehminuten sind Sie bereits am Hauptbahnhof, an der ZHAW Winterthur oder der schönen Altstadt. Die Stadt Winterthur bietet ein breites Kulturangebot, diverse Ausgehmöglichkeiten, eine wunderschöne Altstadt mit diversen Einkaufsmöglichkeiten und vieles mehr.Das Gebäude bietet neben den diversen Eigentumswohnungen auch ein Bistro, eine kleine 24h-Kapelle sowie verschiedene andere Räume der FEG. Diese hält auch jeweils sonntags ihren Gottesd"
"1695389160-78","https://www.immoscout24.ch/de/wohnung/mieten/ort-winterthur?pn=3","1 Zimmer, 39 m², CHF 1290.—","Gutstrasse 13, 8400 Winterthur, ZH","CHF 1290.—","«Wohnung mit Charme und Stadtnähe!»","Die Wohnung bietet Ihnen: - Helle und lichtdurchflutete Räumlichkeiten- Moderne Küche mit Glaskeramikherd- Wohnzimmer mit Parkett- Schöner Plattenboden in Küche und Bad- Genügend Stauraum dank Einbauschrank und eigenem Kellerabteil Top WohnlageDie Wohnung befindet sich an einer ruhigen Nebenstrasse und ist trotzdem stadtnah, in der Nähe von diversen Einkaufsmöglichkeiten und öffentlichen Verkehrsmittel gelegen.(Die Fotos entsprechen dem Standard - kleine Abweichungen sind möglich.)"
"1695389160-79","https://www.immoscout24.ch/de/wohnung/mieten/ort-winterthur?pn=3","3,5 Zimmer, 101 m², CHF 2335.—","Rümikerstrasse 32, 8409 Winterthur, ZH","CHF 2335.—","«Attika-Wohnung mit toller Weitsicht»","Wir bieten per 1.11.203 folgende 3.5 Zimmer Wohnung in Winterthur an:- Wohnräume und Zimmer Parkett- Küche mit GS und GLK- Tiefkühler mit drei Schubladen- Bad/WC mit Doppellavabo- Sep. Dusche/WC- Grosse Terrassen mit teilweise gedecktem Sitzplatz- Sep. Terrasse- Lift- Busverbindungen zur Innenstadt- viele Einkaufsmöglichkeiten (Coop, Media Markt, Migros, OBI)- Bahnhof Winterthur-Hegi in nächster NäheDie Bilder zeigen den Standard der Liegenschaft und entsprechen nicht immer der angebotenen Wohnung."
"1695389160-80","https://www.immoscout24.ch/de/wohnung/mieten/ort-winterthur?pn=3","4,5 Zimmer, 148 m², CHF 2580.—","Am Eulachpark 21, 8404 Winterthur, ZH","CHF 2580.—","«Die perfekte Wohnung!»","- Neubau 2006 - Bodenbeläge Riemenparkett- Raumhohe Fenster- Waschturm (WA/WT)- Bad/WC mit Doppellavabo- Dusche/WC- schöner Sitzplatz- Eingangslogia- Reduit- Haustiere nicht erlaubtEinstellplätze CHF 145.00 vorhandenDie Bilder zeigen den Standard der Liegenschaft und entsprechen nicht immer genau der angebotenen Wohnung."
"1695389160-81","https://www.immoscout24.ch/de/wohnung/mieten/ort-winterthur?pn=3","4,5 Zimmer, 109 m², CHF 2730.—","Zürcherstrasse 135, 8406 Winterthur, ZH","CHF 2730.—","«Grosszügige und moderne 4.5-Zimmer-Wohnung inmitten von Winterthur»","Wir suchen per 1. Dezember 2023 einen Nachmieter für unsere moderne 4.5-Zimmer-Wohnung in einer sehr gepflegten Überbauung in Winterthur Töss. Die optimale Lage sowie die Nähe zum Naherholungsgebiet macht diese zu einer einmaligen Wohlfühloase!Folgende Highlights zeichnen die Wohnung aus:hochwertiger, dunkler Landhausdielen-Vinylboden in ganzer WohnungViele raumhohe Fenster bringen ausreichend Licht in die Wohnung und gestalten diese durchgehend hell und freundlichFarblich alles abgestimmt und optimales Lichtkonzeptgrosszügiges Schlafzimmer, 17"
"1695389160-82","https://www.immoscout24.ch/de/wohnung/mieten/ort-winterthur?pn=3","3 Zimmer, 77 m², CHF 1880.—","Hammerweg 1, 8404 Winterthur, ZH","CHF 1880.—","«Wohnen in ruhigem Quartier»","Diese Wohnung befindet sich in einem gepflegten Mehrfamilienhaus an erhöhter Lage. Wenn Sie das Stadtleben geniessen und trotzdem gerne ruhig wohnen, ist diese Wohnung genau das Richtige für Sie. Sie ist ideal für Personen, die eine optimale Anbindung an den öffentlichen Verkehr zu schätzen wissen. Die S-Bahn ist in 15 Gehminuten erreichbar. Für Ihre Wohnqualität: - Parkettboden in Wohn- / Schlafzimmer- Küche mit Glaskeramikherd und praktischen Einbauschränken- Badezimmer/WC- Einbauschrank in Korridor- Sonniger Balkon- Kellerabteil für zusätzli"
"1695389160-83","https://www.immoscout24.ch/de/wohnung/mieten/ort-winterthur?pn=3","1 Zimmer, 39 m², CHF 1310.—","Gutstrasse 13, 8400 Winterthur, ZH","CHF 1310.—","«Wohnung mit Charme und Stadtnähe!»","Wir vermieten diese attraktiv gelegene Wohnung, welche ausserdem folgendes zu bieten hat: - Küche modern mit Glaskeramikherd und Granitabdeckung - Parkettboden im Wohnzimmer, Schlafzimmer und Korridor - Plattenboden in Küche und Bad- Genügend Stauraum dank Einbauschrank- Eigener Kellerabteil im Untergeschoss Das Objekt ist in der Nähe von diversen Einkaufsmöglichkeiten, öffentlichen Verkehrsmittel wie auch naturnah gelegen.(Die Fotos entsprechen dem Standard, kleine Abweichungen sind möglich.)"
"1695389160-84","https://www.immoscout24.ch/de/wohnung/mieten/ort-winterthur?pn=3","4,5 Zimmer, 101 m², CHF 3100.—","Wingertlistrasse 18, 8405 Winterthur, ZH","CHF 3100.—","«Neubau Attika»","Voraussichtlich per 1. Januar 2024 vermieten wir eine top moderne, neu erstellte 4.5-Zimmer-Attikawohnung in einem familiären Quartier.Eine moderne, offene Einbauküche mit Granitabdeckung bietet Ihnen einen grosszügigen Arbeitsbereich. Mit den energetischen Küchengeräten wie Induktionsherd und den bequem hochliegenden Backofen- und Steamergeräten lassen sich so manche Gaumenfreuden zaubern. Ein Geschirrspüler sowie ein Kühlschrank mit grossem Tiefkühlabteil runden das Küchenprofil ab.Alle Wohn-/Schlaf- und Essbereiche sind mit heimeligem Eichen"
"1695389160-85","https://www.immoscout24.ch/de/wohnung/mieten/ort-winterthur?pn=3","3,5 Zimmer, 78 m², CHF 2412.—","Wingertlistrasse 18, 8405 Winterthur, ZH","CHF 2412.—","«Neubau Attika»","Per 1. Januar 2024 vermieten wir eine top moderne, neu erstellte 3.5-Zimmer-Attikawohnung in einem familiären Quartier.Eine moderne, offene Einbauküche mit Granitabdeckung bietet Ihnen einen grosszügigen Arbeitsbereich. Mit den energetischen Küchengeräten wie Induktionsherd und den bequem hochliegenden Backofen- und Steamergeräten lassen sich so manche Gaumenfreuden zaubern. Ein Geschirrspüler sowie ein Kühlschrank mit grossem Tiefkühlabteil runden das Küchenprofil ab.Alle Wohn-/Schlaf- und Essbereiche sind mit heimeligem Eichen-Parkettboden au"
"1695389160-86","https://www.immoscout24.ch/de/wohnung/mieten/ort-winterthur?pn=3","3,5 Zimmer, 66 m², CHF 1845.—","Tössfeldstrasse 67a, 8406 Winterthur, ZH","CHF 1845.—","«Wohnen in der topmodernen Überbauung WINTY»","Per 01.12.2023 vermieten wir diese 3.5-Zimmerwohnung im Erdgeschoss an der Tössfeldstrasse 67a in Winterthur- Töss.Die lebendige und hervorragend erschlossene Umgebung macht Ihr neues Zuhause zu einem reizvollen Hotspot. In Ihrer neuen Wohnung sorgt eine hochwertige und extravagante Ausstattung für ein einzigartiges Wohnvergnügen. Der Bahnhof Winterthur Töss befindet sich in unmittelbarer Nähe.Die Wohnung überzeugt mit folgenden Merkmalen:- Waschmaschine & Tumbler in der Wohnung- Moderne Küche mit Induktionskochfeld- Ganze Wohnung verfügt über"
"1695389160-87","https://www.immoscout24.ch/de/wohnung/mieten/ort-winterthur?pn=3","3 Zimmer, 67 m², CHF 1810.—","Rütlistr. 17, 8400 Winterthur, ZH","CHF 1810.—","«Wohnen an ruhiger Quartierstrasse»","Es erwartet Sie eine moderne Wohnung in einem gepflegten Mehrfamilienhaus. Einkaufszentren, die Altstadt und der Anschluss an den öffentlichen Verkehr sind in unmittelbarer Nähe erreichbar.Für Ihre Wohnqualität: - Laminatböden in Wohn- und Schlafzimmer - Offene Küche mit Induktionsherd und Geschirrspüler - Nasszelle mit Bad und separates WC - Sonniger BalkonInteressiert? Dann lohnt sich eine Besichtigung."
"1695389160-88","https://www.immoscout24.ch/de/wohnung/mieten/ort-winterthur?pn=3","4 Zimmer, 85 m², CHF 1813.—","Kreuzstrasse 3, 8400 Winterthur, ZH","CHF 1813.—","«Geräumige und zentrale 4 Zimmer-Wohnung in Winterthur»","Sie suchen nach einer geräumigen und gut gepflegten Wohnung in einer ruhigen Umgebung? Dann ist diese 4-Zimmer-Wohnung genau das Richtige für Sie! Die Wohnung befindet sich in einem gepflegten Zustand und bietet ausreichend Platz für ein Paar oder eine Familie. Die Wohnung zeichnet sich besonders durch ihre zentrale Lage aus, befindet sich jedoch in einer ruhigen Gegend. Es verfügt über vier grosszügige Zimmer, die vielseitig genutzt werden können. Die Küche bietet ausreichend Platz für kulinarische Aktivitäten.  Besonders hervorzuheben ist, da"
"1695389160-89","https://www.immoscout24.ch/de/wohnung/mieten/ort-winterthur?pn=3","3,5 Zimmer, 97 m², CHF 2550.—","Rychenbergstr. 61, 8400 Winterthur, ZH","CHF 2550.—","«Über den Dächern des Haldengutareals»","Günstige Verkehrslage, attraktiver Grundriss, moderne Ausstattung viel Licht und Luft: Diese Vorzüge machen diese im Jahre 2010 erstellte Wohnung zu einem besonders begehrten Ort zum Leben und Sein.Für Ihre Wohnqualität:- Ganze Wohnung mit Parkettboden- Wohnzimmer mit integrierter, moderner Küche- Dusche/WC mit eigenem Waschturm- Wandschrank im Korridor- Grosse Loggia- Kontrollierte Wohnungslüftung- Keller für mehr StauraumZusätzlich auf Wunsch: Einstellplatz CHF 150.-/Monat.Interessiert? Dann lohnt sich eine Besichtigung."
"1695389160-90","https://www.immoscout24.ch/de/wohnung/mieten/ort-winterthur?pn=3","3,5 Zimmer, 89 m², CHF 2377.—","Rychenbergstr. 57b, 8400 Winterthur, ZH","CHF 2377.—","«Urbanes Leben im Haldengutareal»","Günstige Verkehrslage, attraktiver Grundriss, moderne Ausstattung viel Licht und Luft: Diese Vorzüge machen diese im Jahre 2010 erstellte Wohnung zu einem besonders begehrten Ort zum Leben und Sein.Für Ihre Wohnqualität:- Ganze Wohnung mit Parkettboden- Wohnzimmer mit integrierter, moderner Küche- Bad/WC- Dusche/WC mit eigenem Waschturm- Grosse Loggia- Kontrollierte Wohnungslüftung- Keller für zusätzlichen StauraumZusätzlich auf Wunsch: Einstellplatz CHF 150.-/Monat. Interessiert? Dann lohnt sich eine Besichtigung."
"1695389160-91","https://www.immoscout24.ch/de/wohnung/mieten/ort-winterthur?pn=3","3,5 Zimmer, 100 m², CHF 2700.—","Marktgasse 36, 8400 Winterthur, ZH","CHF 2700.—","«Genial gelegene 3.5 Zimmer Wohnung im Herzen von Winterthur»","Interessiert? Unter dem Link BESICHTIGUNGSFORMULAR können Sie sich für eine Besichtigung anmelden.Bahnhof sowie viele Einkaufsmöglichkeiten wie Coop sowie auch Migros. wenige Gehminuten entfernt. Hauptstrasse in unmittelbare Entfernung, die mit der Autobahn verbindet. Altstadt Wohnung gelegen wo das Leben pulsiert und doch ist sie sehr ruhig und gut isoliert.Für Ihre Wohnqualität:Wohnung sehr schön renoviert100m2 die bereit ist zur Benutzung istNeue Küche und Bad/DuscheWaschmaschine und Tumbler in der WohnungEigener KellerabteilGemeinschaftster"
"1695389160-92","https://www.immoscout24.ch/de/wohnung/mieten/ort-winterthur?pn=3","3,5 Zimmer, 101 m², CHF 2210.—","Sulzer-Allee 77, 8404 Winterthur, ZH","CHF 2210.—","«Energie sparen? Wohnung im Minergie-Haus»","Willkommen bei sue&tilTauchen Sie ein, denn hier erwartet Sie eine spritzige, inspirierende und innovative Wohnoase, welche auch Ihr Herz höher schlagen lässt!Wir sind die neue Siedlung im modernen Winterthurer Quartier Neuhegi mit Parks und allem, was es für ein aktives Leben braucht. sue&til legt grossen Wert darauf, Ihnen zahlreiche Highlights und Annehmlichkeiten zu bieten. Sie können sicher sein, dass sue&til Ihnen nicht nur alle Ihre Wünsche an Ihr neues Zuhause erfüllt, sondern viel mehr bietet.Für Ihren Wohnkomfort verfügt die Wohnung ü"
"1695389160-93","https://www.immoscout24.ch/de/wohnung/mieten/ort-winterthur?pn=3","3,5 Zimmer, 95 m², CHF 2610.—","Seuzacherstr. 13b, 8400 Winterthur, ZH","CHF 2610.—","«Modern und zentral! Wohnen über der Shopping-Mall!»","Schöne und moderne Wohnung sucht neuen Bewohner!- Zentrale Lage- Gesamte Wohnung mit Parkett- Offene Küche mit Glaskeramikherd, Geschirrspüler und Backofen- Badezimmer mit Badewanne und separates Badezimmer mit Dusche- Waschmaschine / Tumbler in der Wohnung- Grosser Balkon (Loggia)- Reduit- Kellerabteil- Lift- Minergiewohnüberbauung mit kontrollierter Lüftung- Migros direkt in der Liegenschaft (Einkaufszentrum Rosenberg)- Sehr nahe gelegene Busstation Einstellplatz für CHF 140.- pro Monat Homepage: http://www.james-winterthur.chHaben wir Ihr In"
"1695389160-94","https://www.immoscout24.ch/de/wohnung/mieten/ort-winterthur?pn=3","5 Zimmer, CHF 1850.—","Turmstrasse 68, 8400 Winterthur, ZH","CHF 1850.—","«Perfekte WG-Wohnung mit Gemeinschaftsgarten (befristet bis 30.06.2026)»","Wir vermieten diese einfach ausgebaute und heimelige Wohnung auf zwei Etagen mit grossem GemeinschaftsgartenEs erwartet Sie:Grosse Küche (Neuer Geschirrspüler und Kühlschrank)Badezimmer mit Badewanne im 1.OGSeparates WC mit Lavabo im 2.OGGrosses EstrichabteilGrosser KellerWaschmaschine und Trockner in GemeinschaftswaschkücheGrosser Gemeinschaftsgarten, Unterhalt durch die MieterschaftDie Nebenkosten pro Monat betragen CHF 200.00, pauschal, netto CHF 1650.00.Ein gedeckter Unterstand kann für 100 CHF pro Monat dazu gemietet werden. Das Objekt wir"
"1695389160-95","https://www.immoscout24.ch/de/wohnung/mieten/ort-winterthur?pn=3","2 Zimmer, 46 m², CHF 1435.—","Hobelwerkweg 41, 8404 Winterthur, ZH","CHF 1435.—","«Mix aus Micro-Co-Living und klassischen Wohnungen»","Die Baugenossenschaft mehr als wohnen realisiert auf einem ehemaligen Industrie-Areal in Oberwinterthur ein neues «Leuchtturmprojekt», das Hobelwerk. Auf rund 15'0000 Quadratmetern Land entstehen 5 Häuser mit mehr als 160 Wohnungen mit ganz verschiedenen Grössen und Zuschnitt. Dazu gibt es Gewerberäume und viele gemeinschaftlich genutzte Flächen. Neue Wohn- und Arbeitsformen werden, genauso wie Mitwirkung, Gemeinschaft und Nachhaltigkeit, gefördert. Viele weitere Informationen zur Genossenschaft und zum Projekt erhalten Sie unter www.hobelwerk-"
"1695389160-96","https://www.immoscout24.ch/de/wohnung/mieten/ort-winterthur?pn=3","3,5 Zimmer, 77 m², CHF 1980.—","Dättnauerstr. 133, 8406 Winterthur, ZH","CHF 1980.—","«Stadtnah Wohnen mit Sicht ins Grüne»","Sie sind ein naturverbundener Stadtmensch? Dann finden Sie in der Überbauung Oberwis in Dättnau Ihr neues Zuhause. Direkt vor der Haustüre befindet sich die Haltestelle der Buslinie 5, welche Sie mit dem lebendigen Stadtzentrum von Winterthur verbindet. Im angrenzenden Naherholungsgebiet finden Sie Ruhe und Raum für Aktivitäten im Freien.Für Ihre Wohnqualität: - Plattenböden in Wohn- und Schlafzimmern - Moderne offene Küche mit Geschirrspüler und Induktionsherd - Grosszügige Fensterfronten - Sonniger Balkon - Zwei Kinderspielplätze - Gemeinscha"
"1695389164-97","https://www.immoscout24.ch/de/wohnung/mieten/ort-winterthur?pn=2","3,5 Zimmer, 94 m², CHF 2120.—","Else-Züblin-Str. 78, 8404 Winterthur, ZH","CHF 2120.—","«Höchstmass an Wohngenuss»","Willkommen bei sue&tilTauchen Sie ein, denn hier erwartet Sie eine spritzige, inspirierende und innovative Wohnoase, welche auch Ihr Herz höher schlagen lässt!Wir sind die neue Siedlung im modernen Winterthurer Quartier Neuhegi mit Parks und allem, was es für ein aktives Leben braucht. sue&til legt grossen Wert darauf, Ihnen zahlreiche Highlights und Annehmlichkeiten zu bieten. Sie können sicher sein, dass sue&til Ihnen nicht nur alle Ihre Wünsche an Ihr neues Zuhause erfüllt, sondern viel mehr bietet.Für Ihren Wohnkomfort verfügt die Wohnung ü"
"1695389164-98","https://www.immoscout24.ch/de/wohnung/mieten/ort-winterthur?pn=2","4,5 Zimmer, 104 m², CHF 2310.—","Hegistr. 41e, 8404 Winterthur, ZH","CHF 2310.—","«Wohnen an ruhiger Lage ""Mieten ohne Kaution""»","Suchen Sie eine moderne Wohnung, welche für viel Wohnkomfort sorgt und sich in einer kinderfreundlichen Umgebung befindet. Dann ist diese genau das Richtige für Sie:- Helle Wohnung mit grosszügigem Grundriss- Ganze Wohnung Parkett- Moderne Küche mit Glaskeramik, Geschirrspüler und Backofen- Bad/WC mit Doppellavabo und Fenstern für viel Tageslicht- Sep. Dusche/WC- Eigene Waschmaschine mit Tumbler- Wandschrank mit Garderobe im Eingangsbereich- Balkon- Einstellplätze à CHF 140.00 vorhandenDie Wohnung befindet sich in unmittelbarer Nähe des Bahnhof"
"1695389164-99","https://www.immoscout24.ch/de/wohnung/mieten/ort-winterthur?pn=2","2 Zimmer, 56 m², CHF 1360.—","Weststr. 134, 8408 Winterthur, ZH","CHF 1360.—","«Zentrale Lage in Wülflingen»","An zentraler Lage in Winterthur-Wülflingen vermieten wir diese schöne 2-Zimmerwohnung: - Parkett im Wohnbereich- Keramikplatten in der Küche und im Badezimmer- Schöne Küche mit Geschirrspüler und Glaskeramikherd- Helles Badezimmer mit Badewanne- Sonniger Balkon- In gepflegter Umgebung- Nähe Bushaltestelle (Die Fotos entsprechen dem Standard)"
"1695389164-100","https://www.immoscout24.ch/de/wohnung/mieten/ort-winterthur?pn=2","3,5 Zimmer, 113 m², CHF 2664.—","Sulzerallee 65, 8404 Winterthur, ZH","CHF 2664.—","«Ob alt oder jung - ""ROY"" wird jeder lieben!»","Sind Sie auf der Suche nach einem neuen, modernen zu Hause? Bei uns finden Sie garantiert die perfekte Wohnung, welche Ihren Vorstellungen entspricht.Lassen Sie sich vom hochwertigen Ausbaustandard überzeugen und vereinbaren Sie noch heute einen individuellen Besichtigungstermin.Alle Informationen finden Sie auf unserer Objekthomepage https://www.roy-winterthur.chWir freuen uns auf Ihre Kontaktaufnahme.Die Bilder zeigen den Standard der Liegenschaft und entsprechen nicht immer der angebotenen Wohnung.Wir freuen uns über Ihre Kontaktaufnahme!- G"
"1695389164-101","https://www.immoscout24.ch/de/wohnung/mieten/ort-winterthur?pn=2","4,5 Zimmer, 99 m², CHF 2590.—","Hohfurristrasse 91, 8408 Winterthur, ZH","CHF 2590.—","«Schöne 4.5-Zimmerwohnung in Wülflingen zu vermieten»","Wir vermieten per 01. Oktober 2023 oder nach Vereinbarung diese schöne 4.5-Zimmerwohnung mit wunderbarer Aussicht ins Grüne. Die Liegenschaft wurde im 2014 neu erstellt und befindet sich an ruhiger Lage im Grünen und mit direktem Zugang zum Naherholungsgebiet Brüelberg. Das Zentrum Wülflingen ist zu Fuss in ca. 10 Minuten erreichbar. Der Autobahnanschluss Richtung Zürich/St. Gallen ist ebenfalls innert Kürze zu erreichen. Die ungefähre Fahrzeit mit der Buslinie Nr. 2 in die Altstadt Winterthur dauert ca. 15 bis 20 Minuten. Wülflingen verfügt üb"
"1695389164-102","https://www.immoscout24.ch/de/wohnung/mieten/ort-winterthur?pn=2","1 Zimmer, 39 m², CHF 1317.—","Gutstrasse 13, 8400 Winterthur, ZH","CHF 1317.—","«Wiedervermietung einer wunderschönen Wohnung mit Gartensitzplatz!»","Verfügbar ab: 01.11.2023. Diese Wohnung überzeugt nicht nur durch einen eigenen Sitzplatz sondern auch durch folgende Eigenschaften: - Grosszügiges Wohnzimmer mit direktem Zugang zum Gartensitzplatz - Moderne Küche mit Geschirrspüler und Glaskeramikherd - eigenes Kellerabteil mit LattenverschlagDie ganze Wohnung verfügt über einen Vinyldesignboden. Ebenfalls befinden sich in der Wohnung diverse Fenster, welche die Wohnung ohne künstliches Licht hell erscheinen lassen und mit elektrischen Storen ausgestattet sind.Der Sitzplatz ist 28m2 gross und"
