type,id,lat,lon,brand,shop,city,street,housenumber,postcode,opening_hours
node,8541239873,47.3874546,8.5173402,Coop,supermarket,Zürich,Maschinenstrasse,10,8005,Mo-Fr 09:00-21:00; Sa 08:00-21:00
node,8548450743,46.5541641,6.6348143,Coop,supermarket,Le Mont-sur-Lausanne,Route de Lausanne,33,1052,Mo-Fr 07:30-19:00; Sa 07:30-18:00
node,8568619768,47.3682397,8.379791,Lidl,supermarket,Rudolfstetten,Alte Bremgartenstrasse,10b,8964,Mo-Sa 07:30-20:00
node,8568717299,47.3975418,8.008607,Volg,supermarket,Erlinsbach (SO),Hauptstrasse,6,5015,"Mo-Fr 06:00-18:30,Sa 07:00-18:00,PH off"
node,8646641115,47.5253385,8.2453176,Denner,supermarket,Würenlingen,Wiesenstrasse,4,5303,Mo-Sa 08:00-20:00
node,8690397614,47.37739,9.5376422,Denner,supermarket,Altstätten SG,Stossstrasse,2,9450,"Mo-Th 08:00-19:00, Fr 08:00-20:00; Sa 08:00-17:00; Su off"
node,8710511184,47.1710859,7.5740275,Migros,supermarket,Gerlafingen,Friedhofstrasse,1,4563,"Mo-Th 08:00-18:30, Fr 08:00-20:00, Sa 07:30-18:00; PH off"
node,8730544990,47.4783308,8.2167786,Denner,supermarket,Windisch,Dohlenzelgstrasse,2a,5210,Mo-Th 08:00-19:00; Fr 08:00-20:00; Sa 08:00-18:00
node,8761614593,46.9765256,8.3369996,Denner,supermarket,Stansstad,Bahnhofstrasse,19,6362,Mo-Fr 7:30-19:00; Sa 7:30-18:00; PH off
node,8769399225,47.1271859,9.0553323,Coop,supermarket,Niederurnen,Ziegelbrückstrasse,16,8867,Mo-Fr 07:30-20:00; Sa 07:30-18:00
node,8929311539,47.3853027,8.2187552,Volg,supermarket,Hendschiken,Dintikerstrasse,4a,5604,Mo-Fr 07:00-19:00; Sa 07:30-15:00; PH closed
node,8945062569,46.8035454,7.150201,Migros,supermarket,Fribourg,Rue Louis-d'Affry,2,1701,Mo-Sa 06:00-21:00; Su 07:00-19:00
node,8957257034,47.5001307,8.7861334,Landi,supermarket,Elsau,St. Gallerstrasse,6,8352,Mo-Fr 08:00-19:00; Sa 08:00-17:00
node,8959998269,46.9468066,7.39506,Migros,supermarket,Bern,Bethlehemstrasse,40,3027,"Mo-Fr 08:00-19:00, Sa 08:00-17:00; PH off; Jul 31 08:00-17:00; Aug 01 off"
node,8971682217,46.1868938,7.2973988,Volg,supermarket,Haute-Nendaz,Route de Nendaz,860,1997,Mo-Fr 06:00-19:00; Sa 07:00-19:00
node,9006112579,46.6027851,7.1018072,Coop,supermarket,Broc,Rue de Montsalvens,17,1636,Mo-Th 07:30-19:00; Fr 07:30-20:00; Sa 07:30-16:00
node,9006140133,47.5515997,7.5929723,Alnatura,supermarket,Basel,Henric Petri-Strasse,20,4051,Mo-Fr 07:30-20:00; Sa 08:00-18:00
