,web-scraper-order,name,description,price,address,category,date_formatted,time_from,time_until,duration_seconds,is_concert,description_len
10,1701178324-1245,Mataora Sound Journey,"experience a vibrant sound journey with mataora on the first friday of each month, mataora invites you to a colorful sound journey in a beautiful location. every month, special guests join the group to infuse fresh energy to the musical performance. this time, we celebrate chai's birthday (and some more :).  we will open the journey with cacao cermony, provided by sacred caco. so let yourself be uplifted by the beats, connect and fly with other guests on the music carpet. join us at wandellust in the heart of zurich for this occasion and enjoy delicious freshly-cooked food from our remarkable chef ehud (not included in the ticket price). doors open: 18:30 music starts: 19:30 stay longer for a meal in good company: from 21:00 tickets normal 35.- ticket for two 55.- looking forward to surfing with you.",35.0,"Wandellust Zürich, Zollikerstrasse 74, Zürich, CH",Konzert / World & Ethno,2023-12-01,18:30,22:00,12600.0,1,811.0
11,1701178328-1247,Musikalische Adventsreise,"in bekannte und unbekannte musikwelten eintauchen, innehalten, den feierabend festlich einläuten oder einfach einen klangvollen treffpunkt wählen: das publikum in der bahnhofshalle wird an den werktagen jeweils pünktlich um 18 uhr von schülerinnen und schülern der musikschule st.gallen auf eine musikalische reise mitgenommen, um das jahr ausklingen zu lassen. stimmungsvolle bläserklänge, sanfte saitentöne, klangvolle chorgesänge und poppige melodien zeigen die vielseitigkeit der musikschule und sorgen für besinnliche adventsabende. der eintritt ist frei.",,"Bahnhofshalle, Bahnhofplatz 111, St. Gallen, CH",Konzert / Weitere Musikrichtungen,2023-12-01,18:00,,,1,560.0
12,1701178334-1250,Weichekissen - Heisseohren,"ob nur um kurz reinzuhören oder für einenhalben tag der welt abhanden zu kommen: in der dunklen jahreszeit laden die lounges im festivalzentrum dazu ein, sich in der wärme zu tummeln und auf kissen gekuschelt neueste musik und klangkunst zu erleben. die listening lounge bringt, wie in jedemjahr, eine umfassende playlist mit aktueller elektroakustischer musik – diesmal aus über20 ländern. in der video lounge eröffnen arbeiten aus der schweiz und libanon perspektiven auf das meer und seine bedeutungfür unser leben, während die installation von klangkünstler jad atoui eindrücklich zeigt, wie mit ein paar tropfen wasser und etwas hilfe des publikums eine ganze klangskulptur erstehen kann. programm: video lounge loop pini / zaven valentina pini / micha seidenberg: «bosque marino» (2021) cynthia zaven: «kingdom» (2010 / 2022) loop sokhon nour sokhon: «hold your breath» (2018) nour sokhon: «matters of grey» (2015 / 2023) installation: jad atoui: «vibrant pools» (2022 / 2023) interaktive klanginstallation",,"Kunstraum Walcheturm, Kanonengasse 20, Zürich, CH",Konzert,2023-12-01,16:00,22:00,21600.0,1,1017.0
13,1701178336-1251,Schachtmeister/​Stauber,"schachtmeister/​stauber – lisa maria schacht­meis­ter, flügel &&nbsp;irene stauber-mar­tignoni, bratsche",,"ink, Engelgasse 3, Appenzell, CH",Konzert,2023-12-01,10:00,,,1,104.0
14,1701178167-1169,Alexa Tarantino Quartet,"die talentierte saxophonistin von wynton marsalis in ihrem erstklassigen quartett! alexa tarantino ist eine preisgekrönte und lebhafte junge jazz-saxophonistin und multiinstrumentalistin, komponistin und lehrerin. ihr individueller stil zeigt sich in ihren dynamischen auftritten. sie spielte mit musikern wie wynton marsalis, cecile mclorin salvant, ulysses owens jr., dem vanguard jazz orchestra, arturo o’farrill, the diva jazz orchestra und vielen anderen. wynton marsalis sagte über alexa: “alexa ist eine enorm kraftvolle und unzähmbare kraft, voller ausdruck und hervorragender musikalität.”",,"Marians Jazzroom, Engestrasse 54a, Bern, CH",Konzert / Jazz & Blues,2023-12-01,22:00,,,1,598.0
15,1701178169-1170,Borderline Club Culture - Spectres & Frequent Defect,"programm: 22:00 spectres: annie aries – atrice – axel kolb – modulaw 23:30 frequent defect: jad atoui – h.w.g.a. – june as – nâr – renata live-sets & dj sets frequent defect mischt seit einigen jahren die experimentelle club-szene von beirut auf. mit einem untrüglichen gespür für ungewöhnliche mixturen und den hitzepegel auf der tanzfläche, gestalten sie ausufernde nächte mit live- und dj-sets. in zürich trifft das kollektiv auf spectres, einen pool lokaler elektroakustiker:innen, die mit einem ihrer raumgreifenden sets in nahezu völliger dunkelheit den abend eröffnen.",,"Kunstraum Walcheturm, Kanonengasse 20, Zürich, CH",Konzert / Hip-Hop & Rap,2023-12-01,22:00,,,1,579.0
16,1701178173-1172,BBR (CH),"hard 'n' heavy covers! - bbr heizt mit den besten covers ein, bis der schweiss von der decke tropft. buddies, beer und rock'n'roll im gaswerk seewen sz.  bbr, das sind hard'n'heavy covers vom feinsten. die zürcher oberländer combo um divertimento-komiker manu burkart hat ihre wurzeln in greifensee. schon als teenager probten sie im luftschutzkeller des primarschulhaus breiti. heute, über 2 jahrzehnte später und mit ein zwei personellen wechseln, sprühen sie vor ungebändigter spielfreude und warten mit einer songauswahl auf, die stimmungsmässig ab dem 1. takt richtiggehend vorwärts peitscht. bbr spielen vorwiegend covers aus dem bereich rock, hard-rock und metal. fast alle songs sind mindestens einen zacken härter als das jeweilige original.  kurzum: bbr garantieren eine bierselige nacht mit einer gehörigen portion badass rock'n'roll mitten auf die zwölf. horns up & cheers!!",30.0,"Gaswerk Eventbar GmbH, Bahnhofstrasse 180b, Seewen, CH",Konzert / Hard Rock & Heavy Metal,2023-12-01,21:00,22:30,5400.0,1,886.0
17,1701178175-1173,Dâdalus & Bikarus,"uncut - kultig. trashig. provokant. die wiederholung als kern, ein loopzentrisches weltbild quasi, mit instrumentarium und stimmen aus dem universum. das sind dâdalus & bikarus. zwei musiker, aufgewachsen in beinwil am see, kehren für einmal dahin zurück - wo vieles seinen anfang nahm - ins tabart. mit ihrem neuen album «kraus is the limit», das nach early electronics, kraut, wave und boom-bap-vibes tönt, werden sie im tabart begeistern. es wird gekraust.",,"Theater am Bahnhof TaB, Tunaustrasse 5, Reinach, CH",Konzert / Pop & Rock,2023-12-01,21:00,,,1,459.0
18,1701178177-1174,Die Selektion,"aus harten drummachine beats, synthesizer sounds in der tradition von lieblingen wie depeche mode und nitzer ebb, sinistre deutsche texte und schweren trompetenmelodien kreieren die selektion ihren selbsternannten prosecco wave. seit dreizehn jahren, zwei alben, einer reihe von eps und liveshows in über 22 ländern schafft es die band um den luzerner tausendsassa samuel savenberg ebm daddies, goth kids und raver auf dieselbe tanzfläche zu bringen. im september erschien ihr vielerwartetes neues album zeuge aus licht, das ihrem sound um ein elegantes verständnis von pop erweitert. als zweiter act des abends wagt sich konstantin unwohl, der unter anderem bei aufnahme + wiedergabe released hat an den spagat von hyper bodenständigkeit und extravaganz, 1980er jahre synth fantum und ungemütlichem 2023er bewusstsein. auch noch mit von der partie sind das duo walter frosch. direkt aus der schaffhauser diy-szene tauschten sie ihre hardcore jugend gegen synths und drumcomputer ein. das ergebnis ist aber nicht etwa disco und spass, sondern reduzierter wave und texte über existenzängste. in basel werden sie ihre neue ep a sea of broken light, die kürzlich auf irascible records veröffentlich wurde, vorstellen. kommt gut - kommt alle!",,"Kaserne, Klybeckstrasse 1b, Basel, CH",Konzert,2023-12-01,21:00,,,1,1238.0
19,1701178179-1175,Cobee,"wer cobee auf dem schirm hat, der weiß: der 25-jährige schweizer ist die avantgarde souveräner melancholie im intelligenten, aber noch zugänglichen artschool-hiphop und somit der versierte gegenentwurf zu macho-emo-trap oder flex-rap nach baukasten-system. zumindest bis jetzt! schon mit seiner 2018 veröffentlichten „chaos“-ep stellte cobee unter beweis, dass er mehr als nur ein newcomer unter vielen war. diesen ruf verteidigt er sich auch mit seiner neusten platte „bloomer“ (2023), die unter anderem das viko63-feature „scheine!“ und eine gehörige portion punk-attitüde beinhalten. geschickt tänzelt cobee zwischen genres herum, alternative und deutschrap vermischen sich: hauptsache unangepasst und abenteuerlustig. am freitag, 1. dezember beschert und cobee ein premium-adventskalender-türchen, wenn er uns im sommercasino besucht!",,"Sommercasino, Münchensteinerstrasse 1, Basel, CH",Konzert,2023-12-01,21:00,,,1,838.0
