web-scraper-order,web-scraper-start-url,is_eventgruppe,day,name,full_date,location
"1699912011-1","https://eventfrog.ch/de/events.html?sc=events&geoPlace=8000+Z%C3%BCrich&geoLat=47.378834000000005&geoLng=8.537472000000001&geoRadius=5&fromDate=2023-12-1&toDate=2023-12-31&page=50&y=113.5","Eventgruppe","30","Einjährige Jubiläumsausstellung","384 Events","Musée Visionnaire, Zürich (CH)"
"1699912011-2","https://eventfrog.ch/de/events.html?sc=events&geoPlace=8000+Z%C3%BCrich&geoLat=47.378834000000005&geoLng=8.537472000000001&geoRadius=5&fromDate=2023-12-1&toDate=2023-12-31&page=50&y=113.5","","1","11. Porny Days","Freitag, 01. Dezember, 00:00","Stadt Zürich, Zürich (CH)"
"1699912011-3","https://eventfrog.ch/de/events.html?sc=events&geoPlace=8000+Z%C3%BCrich&geoLat=47.378834000000005&geoLng=8.537472000000001&geoRadius=5&fromDate=2023-12-1&toDate=2023-12-31&page=50&y=113.5","Eventgruppe","30","Remember, you are but tiny bits of existence","168 Events","Tableau Zurich, Zürich (CH)"
"1699912011-4","https://eventfrog.ch/de/events.html?sc=events&geoPlace=8000+Z%C3%BCrich&geoLat=47.378834000000005&geoLng=8.537472000000001&geoRadius=5&fromDate=2023-12-1&toDate=2023-12-31&page=50&y=113.5","Eventgruppe","29","Zürcher Wochenmarkt","14 Events","Bürkliplatz, Zürich (CH)"
"1699912011-5","https://eventfrog.ch/de/events.html?sc=events&geoPlace=8000+Z%C3%BCrich&geoLat=47.378834000000005&geoLng=8.537472000000001&geoRadius=5&fromDate=2023-12-1&toDate=2023-12-31&page=50&y=113.5","Eventgruppe","29","Zürcher Wochenmarkt","14 Events","Helvetiaplatz, Zürich (CH)"
"1699912011-6","https://eventfrog.ch/de/events.html?sc=events&geoPlace=8000+Z%C3%BCrich&geoLat=47.378834000000005&geoLng=8.537472000000001&geoRadius=5&fromDate=2023-12-1&toDate=2023-12-31&page=50&y=113.5","Eventgruppe","29","Zürcher Wochenmarkt","14 Events","Milchbuckstrasse, Zürich (CH)"
"1699912011-7","https://eventfrog.ch/de/events.html?sc=events&geoPlace=8000+Z%C3%BCrich&geoLat=47.378834000000005&geoLng=8.537472000000001&geoRadius=5&fromDate=2023-12-1&toDate=2023-12-31&page=50&y=113.5","Eventgruppe","2","Unseen Sights","50 Events","Universitätsklinik Balgrist, Zürich (CH)"
"1699912011-8","https://eventfrog.ch/de/events.html?sc=events&geoPlace=8000+Z%C3%BCrich&geoLat=47.378834000000005&geoLng=8.537472000000001&geoRadius=5&fromDate=2023-12-1&toDate=2023-12-31&page=50&y=113.5","Eventgruppe","13","What We Know","26 Events","Kulturhaus Helferei | Foyer, Zürich (CH)"
"1699912011-9","https://eventfrog.ch/de/events.html?sc=events&geoPlace=8000+Z%C3%BCrich&geoLat=47.378834000000005&geoLng=8.537472000000001&geoRadius=5&fromDate=2023-12-1&toDate=2023-12-31&page=50&y=113.5","Eventgruppe","3","Alles, was Sie brauchen!","111 Events","Zentralbibliothek Zürich | Themenraum Turicensia, Zürich (CH)"
"1699912011-10","https://eventfrog.ch/de/events.html?sc=events&geoPlace=8000+Z%C3%BCrich&geoLat=47.378834000000005&geoLng=8.537472000000001&geoRadius=5&fromDate=2023-12-1&toDate=2023-12-31&page=50&y=113.5","Eventgruppe","1","Constitutio","16 Events","Karl der Grosse | Foyer, Zürich (CH)"
"1699912011-11","https://eventfrog.ch/de/events.html?sc=events&geoPlace=8000+Z%C3%BCrich&geoLat=47.378834000000005&geoLng=8.537472000000001&geoRadius=5&fromDate=2023-12-1&toDate=2023-12-31&page=50&y=113.5","Eventgruppe","15","Kunstintervention im Park","32 Events","Freibad Letzigraben, Zürich (CH)"
"1699912011-12","https://eventfrog.ch/de/events.html?sc=events&geoPlace=8000+Z%C3%BCrich&geoLat=47.378834000000005&geoLng=8.537472000000001&geoRadius=5&fromDate=2023-12-1&toDate=2023-12-31&page=50&y=113.5","Eventgruppe","30","Eine Zukunft für die Vergangenheit. Sammlung Bührle: Kunst, Kontext, Krieg und Konflikt","319 Events","Kunsthaus Zürich, Zürich (CH)"
"1699912011-13","https://eventfrog.ch/de/events.html?sc=events&geoPlace=8000+Z%C3%BCrich&geoLat=47.378834000000005&geoLng=8.537472000000001&geoRadius=5&fromDate=2023-12-1&toDate=2023-12-31&page=50&y=113.5","","1","Revival der Galerie Palette (1949-1993)","Freitag, 01. Dezember, 10:00 – Samstag, 27. Januar, 21:00","Galerie Palette, Zürich (CH)"
"1699912011-14","https://eventfrog.ch/de/events.html?sc=events&geoPlace=8000+Z%C3%BCrich&geoLat=47.378834000000005&geoLng=8.537472000000001&geoRadius=5&fromDate=2023-12-1&toDate=2023-12-31&page=50&y=113.5","Eventgruppe","17 - 1","Weihnachten & Krippen","38 Events","Schweizerisches Nationalmuseum Landesmuseum Zürich, Zürich (CH)"
"1699912011-15","https://eventfrog.ch/de/events.html?sc=events&geoPlace=8000+Z%C3%BCrich&geoLat=47.378834000000005&geoLng=8.537472000000001&geoRadius=5&fromDate=2023-12-1&toDate=2023-12-31&page=50&y=113.5","Eventgruppe","15 - 28","Imagine Picasso","65 Events","Lichthalle MAAG, Zürich (CH)"
"1699912011-16","https://eventfrog.ch/de/events.html?sc=events&geoPlace=8000+Z%C3%BCrich&geoLat=47.378834000000005&geoLng=8.537472000000001&geoRadius=5&fromDate=2023-12-1&toDate=2023-12-31&page=50&y=113.5","Eventgruppe","25","Designing the Beautiful Game","91 Events","FIFA World Football Museum, Zürich (CH)"
"1699912011-17","https://eventfrog.ch/de/events.html?sc=events&geoPlace=8000+Z%C3%BCrich&geoLat=47.378834000000005&geoLng=8.537472000000001&geoRadius=5&fromDate=2023-12-1&toDate=2023-12-31&page=50&y=113.5","Eventgruppe","1 - 28","Margrit Linck (1897-1983). Pionierin der Keramik","128 Events","Museum für Gestaltung (Toni-Areal), Zürich (CH)"
"1699912011-18","https://eventfrog.ch/de/events.html?sc=events&geoPlace=8000+Z%C3%BCrich&geoLat=47.378834000000005&geoLng=8.537472000000001&geoRadius=5&fromDate=2023-12-1&toDate=2023-12-31&page=50&y=113.5","Eventgruppe","31","Pixel Zoo Ocean","28 Events","Kirche auf der Egg (Neue Kirche Wollishofen), Zürich (CH)"
"1699912011-19","https://eventfrog.ch/de/events.html?sc=events&geoPlace=8000+Z%C3%BCrich&geoLat=47.378834000000005&geoLng=8.537472000000001&geoRadius=5&fromDate=2023-12-1&toDate=2023-12-31&page=50&y=113.5","Eventgruppe","14 - 14","Sprachenland Schweiz","50 Events","Schweizerisches Nationalmuseum Landesmuseum Zürich, Zürich (CH)"
"1699912011-20","https://eventfrog.ch/de/events.html?sc=events&geoPlace=8000+Z%C3%BCrich&geoLat=47.378834000000005&geoLng=8.537472000000001&geoRadius=5&fromDate=2023-12-1&toDate=2023-12-31&page=50&y=113.5","Eventgruppe","21","Der Überfluss der Welt","60 Events","Museum Rietberg, Zürich (CH)"
"1699912011-21","https://eventfrog.ch/de/events.html?sc=events&geoPlace=8000+Z%C3%BCrich&geoLat=47.378834000000005&geoLng=8.537472000000001&geoRadius=5&fromDate=2023-12-1&toDate=2023-12-31&page=50&y=113.5","Eventgruppe","21 - 2","Nägelis Postfach. Der Zürcher Musikverleger bei der Arbeit","10 Events","Zentralbibliothek Zürich | Themenraum Turicensia, Zürich (CH)"
"1699912011-22","https://eventfrog.ch/de/events.html?sc=events&geoPlace=8000+Z%C3%BCrich&geoLat=47.378834000000005&geoLng=8.537472000000001&geoRadius=5&fromDate=2023-12-1&toDate=2023-12-31&page=50&y=113.5","Eventgruppe","1 - 12","Plünderware? 5 Fragen an Objekte aus China am Ende der Kaiserzeit","141 Events","Völkerkundemuseum Universität Zürich, Zürich (CH)"
"1699912011-23","https://eventfrog.ch/de/events.html?sc=events&geoPlace=8000+Z%C3%BCrich&geoLat=47.378834000000005&geoLng=8.537472000000001&geoRadius=5&fromDate=2023-12-1&toDate=2023-12-31&page=50&y=113.5","Eventgruppe","6","Kimono - Kyoto to Catwalk","39 Events","Museum Rietberg, Zürich (CH)"
"1699912011-24","https://eventfrog.ch/de/events.html?sc=events&geoPlace=8000+Z%C3%BCrich&geoLat=47.378834000000005&geoLng=8.537472000000001&geoRadius=5&fromDate=2023-12-1&toDate=2023-12-31&page=50&y=113.5","Eventgruppe","14","Zeit","54 Events","Kunsthaus Zürich, Zürich (CH)"
"1699912011-25","https://eventfrog.ch/de/events.html?sc=events&geoPlace=8000+Z%C3%BCrich&geoLat=47.378834000000005&geoLng=8.537472000000001&geoRadius=5&fromDate=2023-12-1&toDate=2023-12-31&page=50&y=113.5","Eventgruppe","7","Caleidoscope","48 Events","Museum für Gestaltung (Toni-Areal), Zürich (CH)"
"1699912011-26","https://eventfrog.ch/de/events.html?sc=events&geoPlace=8000+Z%C3%BCrich&geoLat=47.378834000000005&geoLng=8.537472000000001&geoRadius=5&fromDate=2023-12-1&toDate=2023-12-31&page=50&y=113.5","Eventgruppe","25","Talking Bodies - Körperbilder im Plakat","87 Events","Museum für Gestaltung Zürich, Zürich (CH)"
"1699912011-27","https://eventfrog.ch/de/events.html?sc=events&geoPlace=8000+Z%C3%BCrich&geoLat=47.378834000000005&geoLng=8.537472000000001&geoRadius=5&fromDate=2023-12-1&toDate=2023-12-31&page=50&y=113.5","Eventgruppe","23","Bibliothek zur glücklichen Zukunft","30 Events","Klimapavillon, Zürich (CH)"
"1699912011-28","https://eventfrog.ch/de/events.html?sc=events&geoPlace=8000+Z%C3%BCrich&geoLat=47.378834000000005&geoLng=8.537472000000001&geoRadius=5&fromDate=2023-12-1&toDate=2023-12-31&page=50&y=113.5","Eventgruppe","23 - 23","Weihnachtsmarkt","31 Events","Münsterhof, Zürich (CH)"
"1699912011-29","https://eventfrog.ch/de/events.html?sc=events&geoPlace=8000+Z%C3%BCrich&geoLat=47.378834000000005&geoLng=8.537472000000001&geoRadius=5&fromDate=2023-12-1&toDate=2023-12-31&page=50&y=113.5","Eventgruppe","24 - 23","Weihnachtsmarkt Dörfli","30 Events","Niederdorf, Zürich (CH)"
"1699912011-30","https://eventfrog.ch/de/events.html?sc=events&geoPlace=8000+Z%C3%BCrich&geoLat=47.378834000000005&geoLng=8.537472000000001&geoRadius=5&fromDate=2023-12-1&toDate=2023-12-31&page=50&y=113.5","Eventgruppe","24 - 24","30. Zürcher Christkindlimarkt","31 Events","Hauptbahnhof Zürich | Ausgang Bahnhofstrasse, Zürich (CH)"
"1699912011-31","https://eventfrog.ch/de/events.html?sc=events&geoPlace=8000+Z%C3%BCrich&geoLat=47.378834000000005&geoLng=8.537472000000001&geoRadius=5&fromDate=2023-12-1&toDate=2023-12-31&page=50&y=113.5","Eventgruppe","6","Stephan Balkenhol","40 Events","Mai 36 Galerie, Zürich (CH)"
"1699912011-32","https://eventfrog.ch/de/events.html?sc=events&geoPlace=8000+Z%C3%BCrich&geoLat=47.378834000000005&geoLng=8.537472000000001&geoRadius=5&fromDate=2023-12-1&toDate=2023-12-31&page=50&y=113.5","Eventgruppe","17 - 17","Rebet'z Carpets","67 Events","Galerie Nicola von Senger, Zürich (CH)"
"1699912011-33","https://eventfrog.ch/de/events.html?sc=events&geoPlace=8000+Z%C3%BCrich&geoLat=47.378834000000005&geoLng=8.537472000000001&geoRadius=5&fromDate=2023-12-1&toDate=2023-12-31&page=50&y=113.5","Eventgruppe","23","Tektur","24 Events","Galerie Lange + Pult, Zürich (CH)"
"1699912011-34","https://eventfrog.ch/de/events.html?sc=events&geoPlace=8000+Z%C3%BCrich&geoLat=47.378834000000005&geoLng=8.537472000000001&geoRadius=5&fromDate=2023-12-1&toDate=2023-12-31&page=50&y=113.5","Eventgruppe","23 - 23","Zürcher Weihnachtsallee","31 Events","Europaallee, Zürich (CH)"
"1699912011-35","https://eventfrog.ch/de/events.html?sc=events&geoPlace=8000+Z%C3%BCrich&geoLat=47.378834000000005&geoLng=8.537472000000001&geoRadius=5&fromDate=2023-12-1&toDate=2023-12-31&page=50&y=113.5","Eventgruppe","25 - 19","Winterzauber auf dem Uetliberg","21 Events","Hotel Uto Kulm, Uetliberg (CH)"
"1699912011-36","https://eventfrog.ch/de/events.html?sc=events&geoPlace=8000+Z%C3%BCrich&geoLat=47.378834000000005&geoLng=8.537472000000001&geoRadius=5&fromDate=2023-12-1&toDate=2023-12-31&page=50&y=113.5","Eventgruppe","21","As in a Melody or a Bird’s Nest","58 Events","Kunsthalle Zürich, Zürich (CH)"
"1699912011-37","https://eventfrog.ch/de/events.html?sc=events&geoPlace=8000+Z%C3%BCrich&geoLat=47.378834000000005&geoLng=8.537472000000001&geoRadius=5&fromDate=2023-12-1&toDate=2023-12-31&page=50&y=113.5","Eventgruppe","6","«verstehen». Das Problem des Anderen","47 Events","Helmhaus, Zürich (CH)"
"1699912011-38","https://eventfrog.ch/de/events.html?sc=events&geoPlace=8000+Z%C3%BCrich&geoLat=47.378834000000005&geoLng=8.537472000000001&geoRadius=5&fromDate=2023-12-1&toDate=2023-12-31&page=50&y=113.5","Eventgruppe","23 - 23","Zürcher Wienachtsdorf am Bellevue","31 Events","Sechseläutenplatz, Zürich (CH)"
"1699912011-39","https://eventfrog.ch/de/events.html?sc=events&geoPlace=8000+Z%C3%BCrich&geoLat=47.378834000000005&geoLng=8.537472000000001&geoRadius=5&fromDate=2023-12-1&toDate=2023-12-31&page=50&y=113.5","Eventgruppe","21","Interdependencies - Perspectives on Care and Resilience","59 Events","Migros Museum für Gegenwartskunst, Zürich (CH)"
"1699912011-40","https://eventfrog.ch/de/events.html?sc=events&geoPlace=8000+Z%C3%BCrich&geoLat=47.378834000000005&geoLng=8.537472000000001&geoRadius=5&fromDate=2023-12-1&toDate=2023-12-31&page=50&y=113.5","Eventgruppe","21","Zürich Biennale","60 Events","Kunsthalle Zürich, Zürich (CH)"
"1699912011-41","https://eventfrog.ch/de/events.html?sc=events&geoPlace=8000+Z%C3%BCrich&geoLat=47.378834000000005&geoLng=8.537472000000001&geoRadius=5&fromDate=2023-12-1&toDate=2023-12-31&page=50&y=113.5","Eventgruppe","14","Dem Raum Raum geben","51 Events","Haus Konstruktiv, Zürich (CH)"
"1699912011-42","https://eventfrog.ch/de/events.html?sc=events&geoPlace=8000+Z%C3%BCrich&geoLat=47.378834000000005&geoLng=8.537472000000001&geoRadius=5&fromDate=2023-12-1&toDate=2023-12-31&page=50&y=113.5","Eventgruppe","22","H O R I Z O N","29 Events","Lullin + Ferrari, Zürich (CH)"
"1699912011-43","https://eventfrog.ch/de/events.html?sc=events&geoPlace=8000+Z%C3%BCrich&geoLat=47.378834000000005&geoLng=8.537472000000001&geoRadius=5&fromDate=2023-12-1&toDate=2023-12-31&page=50&y=113.5","Eventgruppe","22","Home Theater","29 Events","Lullin + Ferrari, Zürich (CH)"
"1699912011-44","https://eventfrog.ch/de/events.html?sc=events&geoPlace=8000+Z%C3%BCrich&geoLat=47.378834000000005&geoLng=8.537472000000001&geoRadius=5&fromDate=2023-12-1&toDate=2023-12-31&page=50&y=113.5","Eventgruppe","24","Melencolia","60 Events","Galerie Eva Presenhuber, Zürich (CH)"
"1699912011-45","https://eventfrog.ch/de/events.html?sc=events&geoPlace=8000+Z%C3%BCrich&geoLat=47.378834000000005&geoLng=8.537472000000001&geoRadius=5&fromDate=2023-12-1&toDate=2023-12-31&page=50&y=113.5","Eventgruppe","22","Villa Venus: An Organized Dream","23 Events","Galerie Eva Presenhuber, Zürich (CH)"
"1699912011-46","https://eventfrog.ch/de/events.html?sc=events&geoPlace=8000+Z%C3%BCrich&geoLat=47.378834000000005&geoLng=8.537472000000001&geoRadius=5&fromDate=2023-12-1&toDate=2023-12-31&page=50&y=113.5","Eventgruppe","7","Enfants terribles - Unheimliche Kindergeschichten","48 Events","Museum Strauhof, Zürich (CH)"
"1699912011-47","https://eventfrog.ch/de/events.html?sc=events&geoPlace=8000+Z%C3%BCrich&geoLat=47.378834000000005&geoLng=8.537472000000001&geoRadius=5&fromDate=2023-12-1&toDate=2023-12-31&page=50&y=113.5","Eventgruppe","26","James Turrell","44 Events","Häusler Contemporary Zürich, Zürich (CH)"
"1699912011-48","https://eventfrog.ch/de/events.html?sc=events&geoPlace=8000+Z%C3%BCrich&geoLat=47.378834000000005&geoLng=8.537472000000001&geoRadius=5&fromDate=2023-12-1&toDate=2023-12-31&page=50&y=113.5","","1","MedTalk with Antonio Nocito | Surgery KSB","Freitag, 01. Dezember, 12:15","ETH LFW Gebäude, Zürich (CH)"
"1699912011-49","https://eventfrog.ch/de/events.html?sc=events&geoPlace=8000+Z%C3%BCrich&geoLat=47.378834000000005&geoLng=8.537472000000001&geoRadius=5&fromDate=2023-12-1&toDate=2023-12-31&page=50&y=113.5","Eventgruppe","27","Hölzigi – von traditionell bis aktuell","95 Events","Haus Appenzell, Zürich (CH)"
"1699912011-50","https://eventfrog.ch/de/events.html?sc=events&geoPlace=8000+Z%C3%BCrich&geoLat=47.378834000000005&geoLng=8.537472000000001&geoRadius=5&fromDate=2023-12-1&toDate=2023-12-31&page=50&y=113.5","Eventgruppe","17","Sedna. Mythos und Wandel in der Arktis","104 Events","Nordamerika Native Museum NONAM, Zürich (CH)"
"1699912011-51","https://eventfrog.ch/de/events.html?sc=events&geoPlace=8000+Z%C3%BCrich&geoLat=47.378834000000005&geoLng=8.537472000000001&geoRadius=5&fromDate=2023-12-1&toDate=2023-12-31&page=50&y=113.5","Eventgruppe","23","Life happens!","29 Events","Musée Visionnaire, Zürich (CH)"
"1699912011-52","https://eventfrog.ch/de/events.html?sc=events&geoPlace=8000+Z%C3%BCrich&geoLat=47.378834000000005&geoLng=8.537472000000001&geoRadius=5&fromDate=2023-12-1&toDate=2023-12-31&page=50&y=113.5","Eventgruppe","29","Eintrittsticket Uhrenmuseum Beyer","35 Events","Uhrenmuseum Beyer, Zürich (CH)"
"1699912011-53","https://eventfrog.ch/de/events.html?sc=events&geoPlace=8000+Z%C3%BCrich&geoLat=47.378834000000005&geoLng=8.537472000000001&geoRadius=5&fromDate=2023-12-1&toDate=2023-12-31&page=50&y=113.5","Eventgruppe","24 - 9","Kopf und Kragen","8 Events","Sam Scherrer Contemporary, Zürich (CH)"
"1699912011-54","https://eventfrog.ch/de/events.html?sc=events&geoPlace=8000+Z%C3%BCrich&geoLat=47.378834000000005&geoLng=8.537472000000001&geoRadius=5&fromDate=2023-12-1&toDate=2023-12-31&page=50&y=113.5","Eventgruppe","25 - 14","Kerzenziehen","23 Events","Hotel Uto Kulm, Uetliberg (CH)"
"1699912011-55","https://eventfrog.ch/de/events.html?sc=events&geoPlace=8000+Z%C3%BCrich&geoLat=47.378834000000005&geoLng=8.537472000000001&geoRadius=5&fromDate=2023-12-1&toDate=2023-12-31&page=50&y=113.5","Eventgruppe","17","Planetary Urbanisation- Agrifutures Zürich","25 Events","ZAZ Bellerive - Zentrum Architektur Zürich, Zürich (CH)"
"1699912011-56","https://eventfrog.ch/de/events.html?sc=events&geoPlace=8000+Z%C3%BCrich&geoLat=47.378834000000005&geoLng=8.537472000000001&geoRadius=5&fromDate=2023-12-1&toDate=2023-12-31&page=50&y=113.5","Eventgruppe","1 - 24","Führung Kostümabteilung","3 Events","Treffpunkt Billettkasse, Zürich (CH)"
"1699912011-57","https://eventfrog.ch/de/events.html?sc=events&geoPlace=8000+Z%C3%BCrich&geoLat=47.378834000000005&geoLng=8.537472000000001&geoRadius=5&fromDate=2023-12-1&toDate=2023-12-31&page=50&y=113.5","Eventgruppe","1 - 28","Primary Colors","3 Events","Filmpodium Kino, Zürich (CH)"
"1699912011-58","https://eventfrog.ch/de/events.html?sc=events&geoPlace=8000+Z%C3%BCrich&geoLat=47.378834000000005&geoLng=8.537472000000001&geoRadius=5&fromDate=2023-12-1&toDate=2023-12-31&page=50&y=113.5","Eventgruppe","24 - 10","Oerliker Kerzenziehen","17 Events","GZ Oerlikon, Zürich (CH)"
"1699912011-59","https://eventfrog.ch/de/events.html?sc=events&geoPlace=8000+Z%C3%BCrich&geoLat=47.378834000000005&geoLng=8.537472000000001&geoRadius=5&fromDate=2023-12-1&toDate=2023-12-31&page=50&y=113.5","Eventgruppe","23 - 23","The Singing Christmas Tree und «Wiehnachtsmärt»","31 Events","Werdmühleplatz, Zürich (CH)"
"1699912011-60","https://eventfrog.ch/de/events.html?sc=events&geoPlace=8000+Z%C3%BCrich&geoLat=47.378834000000005&geoLng=8.537472000000001&geoRadius=5&fromDate=2023-12-1&toDate=2023-12-31&page=50&y=113.5","","1","Bühnentechnik","Freitag, 01. Dezember, 16:00","Opernhaus | Studiobühne, Zürich (CH)"
"1699912011-61","https://eventfrog.ch/de/events.html?sc=events&geoPlace=8000+Z%C3%BCrich&geoLat=47.378834000000005&geoLng=8.537472000000001&geoRadius=5&fromDate=2023-12-1&toDate=2023-12-31&page=50&y=113.5","Eventgruppe","17 - 30","ILLUMINARIUM","34 Events","Schweizerisches Nationalmuseum Landesmuseum Zürich | Innenhof, Zürich (CH)"
"1699912011-62","https://eventfrog.ch/de/events.html?sc=events&geoPlace=8000+Z%C3%BCrich&geoLat=47.378834000000005&geoLng=8.537472000000001&geoRadius=5&fromDate=2023-12-1&toDate=2023-12-31&page=50&y=113.5","","1","Revival der Galerie Palette (1949-1993)","Freitag, 01. Dezember, 17:00","Galerie Palette, Zürich (CH)"
"1699912011-63","https://eventfrog.ch/de/events.html?sc=events&geoPlace=8000+Z%C3%BCrich&geoLat=47.378834000000005&geoLng=8.537472000000001&geoRadius=5&fromDate=2023-12-1&toDate=2023-12-31&page=50&y=113.5","Eventgruppe","5","Laughter Yoga","5 Events","Radiant Heart Studio, Zürich (CH)"
"1699912011-64","https://eventfrog.ch/de/events.html?sc=events&geoPlace=8000+Z%C3%BCrich&geoLat=47.378834000000005&geoLng=8.537472000000001&geoRadius=5&fromDate=2023-12-1&toDate=2023-12-31&page=50&y=113.5","","1","Züri Xmas Tour,  1.12.23, 17h","Freitag, 01. Dezember, 17:00","Bahnhofplatz Zürich, Zürich (CH)"
"1699912011-65","https://eventfrog.ch/de/events.html?sc=events&geoPlace=8000+Z%C3%BCrich&geoLat=47.378834000000005&geoLng=8.537472000000001&geoRadius=5&fromDate=2023-12-1&toDate=2023-12-31&page=50&y=113.5","","1","Laternenführung «Weihnachten & Krippen»","Freitag, 01. Dezember, 17:15","Schweizerisches Nationalmuseum Landesmuseum Zürich, Zürich (CH)"
"1699912011-66","https://eventfrog.ch/de/events.html?sc=events&geoPlace=8000+Z%C3%BCrich&geoLat=47.378834000000005&geoLng=8.537472000000001&geoRadius=5&fromDate=2023-12-1&toDate=2023-12-31&page=50&y=113.5","","1","KEA - Kundalini Energy Activation","Freitag, 01. Dezember, 17:30","Yoga Studio Zürich, Zürich (CH)"
"1699912011-67","https://eventfrog.ch/de/events.html?sc=events&geoPlace=8000+Z%C3%BCrich&geoLat=47.378834000000005&geoLng=8.537472000000001&geoRadius=5&fromDate=2023-12-1&toDate=2023-12-31&page=50&y=113.5","Eventgruppe","1 - 1","Make Kin(k) - on the Radical Tenderness of Ropes","2 Events","Baby Angel, Zürich (CH)"
"1699912011-68","https://eventfrog.ch/de/events.html?sc=events&geoPlace=8000+Z%C3%BCrich&geoLat=47.378834000000005&geoLng=8.537472000000001&geoRadius=5&fromDate=2023-12-1&toDate=2023-12-31&page=50&y=113.5","","1","Lord of the Flies","Freitag, 01. Dezember, 18:00","Filmpodium Kino, Zürich (CH)"
"1699912011-69","https://eventfrog.ch/de/events.html?sc=events&geoPlace=8000+Z%C3%BCrich&geoLat=47.378834000000005&geoLng=8.537472000000001&geoRadius=5&fromDate=2023-12-1&toDate=2023-12-31&page=50&y=113.5","","1","""Shake it off"" TRE Gruppe (TRE-Einführung vorausgesetzt)","Freitag, 01. Dezember, 18:00","Entspannungspraxis, Zürich (CH)"
"1699912011-70","https://eventfrog.ch/de/events.html?sc=events&geoPlace=8000+Z%C3%BCrich&geoLat=47.378834000000005&geoLng=8.537472000000001&geoRadius=5&fromDate=2023-12-1&toDate=2023-12-31&page=50&y=113.5","Eventgruppe","29","NICE Fridays","7 Events","NICE Gastrobar, Zürich (CH)"
"1699912011-71","https://eventfrog.ch/de/events.html?sc=events&geoPlace=8000+Z%C3%BCrich&geoLat=47.378834000000005&geoLng=8.537472000000001&geoRadius=5&fromDate=2023-12-1&toDate=2023-12-31&page=50&y=113.5","Eventgruppe","24 - 9","Taschenlampenführung","12 Events","Kulturama, Zürich (CH)"
"1699912011-72","https://eventfrog.ch/de/events.html?sc=events&geoPlace=8000+Z%C3%BCrich&geoLat=47.378834000000005&geoLng=8.537472000000001&geoRadius=5&fromDate=2023-12-1&toDate=2023-12-31&page=50&y=113.5","","1","Menschen in Trauerprozessen begleiten","Freitag, 01. Dezember, 18:00 – Sonntag, 03. Dezember, 17:00","Institut für Prozessarbeit, Zürich (CH)"
"1699912011-73","https://eventfrog.ch/de/events.html?sc=events&geoPlace=8000+Z%C3%BCrich&geoLat=47.378834000000005&geoLng=8.537472000000001&geoRadius=5&fromDate=2023-12-1&toDate=2023-12-31&page=50&y=113.5","","1","Nachts alleine im Museum","Freitag, 01. Dezember, 18:30","Schweizerisches Nationalmuseum Landesmuseum Zürich, Zürich (CH)"
"1699912011-74","https://eventfrog.ch/de/events.html?sc=events&geoPlace=8000+Z%C3%BCrich&geoLat=47.378834000000005&geoLng=8.537472000000001&geoRadius=5&fromDate=2023-12-1&toDate=2023-12-31&page=50&y=113.5","","1","Mataora Sound Journey","Freitag, 01. Dezember, 18:30","Wandellust Zürich, Zürich (CH)"
"1699912011-75","https://eventfrog.ch/de/events.html?sc=events&geoPlace=8000+Z%C3%BCrich&geoLat=47.378834000000005&geoLng=8.537472000000001&geoRadius=5&fromDate=2023-12-1&toDate=2023-12-31&page=50&y=113.5","","1","Mimiks & LCone","Freitag, 01. Dezember, 19:00","Dynamo, Zürich (CH)"
"1699912011-76","https://eventfrog.ch/de/events.html?sc=events&geoPlace=8000+Z%C3%BCrich&geoLat=47.378834000000005&geoLng=8.537472000000001&geoRadius=5&fromDate=2023-12-1&toDate=2023-12-31&page=50&y=113.5","","1","Stigma Sexarbeit","Freitag, 01. Dezember, 19:00","Das Gleis, Zürich (CH)"
"1699912011-77","https://eventfrog.ch/de/events.html?sc=events&geoPlace=8000+Z%C3%BCrich&geoLat=47.378834000000005&geoLng=8.537472000000001&geoRadius=5&fromDate=2023-12-1&toDate=2023-12-31&page=50&y=113.5","","1","Lichterglanz","Freitag, 01. Dezember, 19:00","Citykirche Offener St. Jakob, Zürich (CH)"
"1699912011-78","https://eventfrog.ch/de/events.html?sc=events&geoPlace=8000+Z%C3%BCrich&geoLat=47.378834000000005&geoLng=8.537472000000001&geoRadius=5&fromDate=2023-12-1&toDate=2023-12-31&page=50&y=113.5","","1","Benefit Concert for Displaced Armenians of Karabakh","Freitag, 01. Dezember, 19:00","Kulturhaus Helferei: Kapelle, Zürich (CH)"
"1699912011-79","https://eventfrog.ch/de/events.html?sc=events&geoPlace=8000+Z%C3%BCrich&geoLat=47.378834000000005&geoLng=8.537472000000001&geoRadius=5&fromDate=2023-12-1&toDate=2023-12-31&page=50&y=113.5","Eventgruppe","30 - 2","ALL TABS","9 Events","Theater der Künste | Bühne A | Zürcher Hochschule der Künste, Zürich (CH)"
"1699912011-80","https://eventfrog.ch/de/events.html?sc=events&geoPlace=8000+Z%C3%BCrich&geoLat=47.378834000000005&geoLng=8.537472000000001&geoRadius=5&fromDate=2023-12-1&toDate=2023-12-31&page=50&y=113.5","Eventgruppe","22","SisterTempel Zürich","3 Events","Rock'n'Well, Zürich (CH)"
