web-scraper-order,web-scraper-start-url,is_eventgruppe,day,name,full_date,location
"1699912011-524","https://eventfrog.ch/de/events.html?sc=events&geoPlace=8000+Z%C3%BCrich&geoLat=47.378834000000005&geoLng=8.537472000000001&geoRadius=5&fromDate=2023-12-1&toDate=2023-12-31&page=50&y=113.5","","12","Musik an der ETH und UZH, Weihnachtskonzert","Dienstag, 12. Dezember, 19:30","Auditorium Maximum der ETH, Zürich (CH)"
"1699912011-525","https://eventfrog.ch/de/events.html?sc=events&geoPlace=8000+Z%C3%BCrich&geoLat=47.378834000000005&geoLng=8.537472000000001&geoRadius=5&fromDate=2023-12-1&toDate=2023-12-31&page=50&y=113.5","Eventgruppe","13","Tribute to Prince","6 Events","Theater Rigiblick, Zürich (CH)"
"1699912011-526","https://eventfrog.ch/de/events.html?sc=events&geoPlace=8000+Z%C3%BCrich&geoLat=47.378834000000005&geoLng=8.537472000000001&geoRadius=5&fromDate=2023-12-1&toDate=2023-12-31&page=50&y=113.5","","12","Sternschnuppen: Die Geminiden kommen","Dienstag, 12. Dezember, 20:00","Urania-Sternwarte Zürich, Zürich (CH)"
"1699912011-527","https://eventfrog.ch/de/events.html?sc=events&geoPlace=8000+Z%C3%BCrich&geoLat=47.378834000000005&geoLng=8.537472000000001&geoRadius=5&fromDate=2023-12-1&toDate=2023-12-31&page=50&y=113.5","","12","Stand Up!","Dienstag, 12. Dezember, 20:00","Bernhard Theater, Zürich (CH)"
"1699912011-528","https://eventfrog.ch/de/events.html?sc=events&geoPlace=8000+Z%C3%BCrich&geoLat=47.378834000000005&geoLng=8.537472000000001&geoRadius=5&fromDate=2023-12-1&toDate=2023-12-31&page=50&y=113.5","Eventgruppe","12 - 23","Rear Window","3 Events","Filmpodium Kino, Zürich (CH)"
"1699912011-529","https://eventfrog.ch/de/events.html?sc=events&geoPlace=8000+Z%C3%BCrich&geoLat=47.378834000000005&geoLng=8.537472000000001&geoRadius=5&fromDate=2023-12-1&toDate=2023-12-31&page=50&y=113.5","","13","Mittagsmusik im Predigerchor: Duo Aratik","Mittwoch, 13. Dezember, 12:15","Lesesaal der Musikabteilung im Predigerchor, Zürich (CH)"
"1699912011-530","https://eventfrog.ch/de/events.html?sc=events&geoPlace=8000+Z%C3%BCrich&geoLat=47.378834000000005&geoLng=8.537472000000001&geoRadius=5&fromDate=2023-12-1&toDate=2023-12-31&page=50&y=113.5","","13","Winter-Atelier","Mittwoch, 13. Dezember, 13:30","Schweizerisches Nationalmuseum Landesmuseum Zürich, Zürich (CH)"
"1699912011-531","https://eventfrog.ch/de/events.html?sc=events&geoPlace=8000+Z%C3%BCrich&geoLat=47.378834000000005&geoLng=8.537472000000001&geoRadius=5&fromDate=2023-12-1&toDate=2023-12-31&page=50&y=113.5","","13","«Die Stadthauskinder» – interaktive Lesung","Mittwoch, 13. Dezember, 15:00","PBZ Altstetten, Zürich (CH)"
"1699912011-532","https://eventfrog.ch/de/events.html?sc=events&geoPlace=8000+Z%C3%BCrich&geoLat=47.378834000000005&geoLng=8.537472000000001&geoRadius=5&fromDate=2023-12-1&toDate=2023-12-31&page=50&y=113.5","","13","Adventsbasteln","Mittwoch, 13. Dezember, 15:00","PBZ Oerlikon, Zürich (CH)"
"1699912011-533","https://eventfrog.ch/de/events.html?sc=events&geoPlace=8000+Z%C3%BCrich&geoLat=47.378834000000005&geoLng=8.537472000000001&geoRadius=5&fromDate=2023-12-1&toDate=2023-12-31&page=50&y=113.5","","13","Vorlesestunde für Kinder","Mittwoch, 13. Dezember, 15:00","PBZ Aussersihl, Zürich (CH)"
"1699912011-534","https://eventfrog.ch/de/events.html?sc=events&geoPlace=8000+Z%C3%BCrich&geoLat=47.378834000000005&geoLng=8.537472000000001&geoRadius=5&fromDate=2023-12-1&toDate=2023-12-31&page=50&y=113.5","Eventgruppe","15 - 6","Familienführung Opernhaus","9 Events","Treffpunkt Billettkasse, Zürich (CH)"
