web-scraper-order,web-scraper-start-url,is_eventgruppe,day,name,full_date,location,link,link-href
"1699913746-343","https://eventfrog.ch/de/events.html?sc=events&geoPlace=8000+Z%C3%BCrich&geoLat=47.378834000000005&geoLng=8.537472000000001&geoRadius=5&fromDate=2023-12-1&toDate=2023-12-31&page=50&y=113.5","","7","Ecst∆tic D∆NCE Zurich at Citychurch St. Jakob with Zeba","Donnerstag, 07. Dezember, 19:30","Kirche Offener St. Jakob, Zürich (CH)","Tickets
							
					
		

						
				Dez
				7
			
			
			
				Ecst∆tic D∆NCE Zurich at Citychurch St. Jakob with Zeba
									Donnerstag, 07. Dezember, 19:30
								Kirche Offener St. Jakob, Zürich (CH)","https://eventfrog.ch/de/p/sport-fitness/sonstige-veranstaltungen/ecsttic-dnce-zurich-at-citychurch-st-jakob-with-zeba-7128733653484404997.html"
"1699913746-344","https://eventfrog.ch/de/events.html?sc=events&geoPlace=8000+Z%C3%BCrich&geoLat=47.378834000000005&geoLng=8.537472000000001&geoRadius=5&fromDate=2023-12-1&toDate=2023-12-31&page=50&y=113.5","","7","William Chirinos","Donnerstag, 07. Dezember, 19:30","GZ Bachwiesen, Zürich (CH)","Dez
				7
			
			
			
				William Chirinos
									Donnerstag, 07. Dezember, 19:30
								GZ Bachwiesen, Zürich (CH)","https://eventfrog.ch/de/p/konzert/world-ethno/william-chirinos-7127587746277735635.html"
"1699913746-345","https://eventfrog.ch/de/events.html?sc=events&geoPlace=8000+Z%C3%BCrich&geoLat=47.378834000000005&geoLng=8.537472000000001&geoRadius=5&fromDate=2023-12-1&toDate=2023-12-31&page=50&y=113.5","","7","Marek Janowski mit Brahms","Donnerstag, 07. Dezember, 19:30","Tonhalle | Grosse Tonhalle, Zürich (CH)","Dez
				7
			
			
			
				Marek Janowski mit Brahms
									Donnerstag, 07. Dezember, 19:30
								Tonhalle | Grosse Tonhalle, Zürich (CH)","https://eventfrog.ch/de/p/klassik-opern/klassik/marek-janowski-mit-brahms-7122526811414564799.html"
"1699913746-346","https://eventfrog.ch/de/events.html?sc=events&geoPlace=8000+Z%C3%BCrich&geoLat=47.378834000000005&geoLng=8.537472000000001&geoRadius=5&fromDate=2023-12-1&toDate=2023-12-31&page=50&y=113.5","","7","Liederabend Simon Keenlyside","Donnerstag, 07. Dezember, 19:30","Opernhaus | Studiobühne, Zürich (CH)","Dez
				7
			
			
			
				Liederabend Simon Keenlyside
									Donnerstag, 07. Dezember, 19:30
								Opernhaus | Studiobühne, Zürich (CH)","https://eventfrog.ch/de/p/klassik-opern/klassik/liederabend-simon-keenlyside-7108410738851389660.html"
"1699913746-347","https://eventfrog.ch/de/events.html?sc=events&geoPlace=8000+Z%C3%BCrich&geoLat=47.378834000000005&geoLng=8.537472000000001&geoRadius=5&fromDate=2023-12-1&toDate=2023-12-31&page=50&y=113.5","Eventgruppe","21","Kirtan / Mantra Singen","6 Events","nandalayoga, Zürich (CH)","Tickets
							
							
					Eventgruppe
				
					
		

						
				bis Dez
				21
			
			
			
				Kirtan / Mantra Singen
									6 Events
								nandalayoga, Zürich (CH)","https://eventfrog.ch/de/p/gruppen/kirtan-mantra-singen-7124826666296108733.html"
"1699913746-348","https://eventfrog.ch/de/events.html?sc=events&geoPlace=8000+Z%C3%BCrich&geoLat=47.378834000000005&geoLng=8.537472000000001&geoRadius=5&fromDate=2023-12-1&toDate=2023-12-31&page=50&y=113.5","Eventgruppe","23 - 16","Johanna","3 Events","Schauspielhaus Pfauen | Kammer, Zürich (CH)","Eventgruppe
				
					
		

							
					Nov - Dez
					23 - 16
				
			
			
				Johanna
									3 Events
								Schauspielhaus Pfauen | Kammer, Zürich (CH)","https://eventfrog.ch/de/p/gruppen/johanna-7128548209287185549.html"
"1699913746-349","https://eventfrog.ch/de/events.html?sc=events&geoPlace=8000+Z%C3%BCrich&geoLat=47.378834000000005&geoLng=8.537472000000001&geoRadius=5&fromDate=2023-12-1&toDate=2023-12-31&page=50&y=113.5","","7","Yells","Donnerstag, 07. Dezember, 20:00","Waxy Bar, Zürich (CH)","Tickets
							
					
		

						
				Dez
				7
			
			
			
				Yells
									Donnerstag, 07. Dezember, 20:00
								Waxy Bar, Zürich (CH)","https://eventfrog.ch/de/p/konzert/indie-alternative/yells-7128329965762753321.html"
"1699913746-350","https://eventfrog.ch/de/events.html?sc=events&geoPlace=8000+Z%C3%BCrich&geoLat=47.378834000000005&geoLng=8.537472000000001&geoRadius=5&fromDate=2023-12-1&toDate=2023-12-31&page=50&y=113.5","","7","Ds Lied vo de Bahnhöf","Donnerstag, 07. Dezember, 20:00","Theater Rigiblick, Zürich (CH)","Dez
				7
			
			
			
				Ds Lied vo de Bahnhöf
									Donnerstag, 07. Dezember, 20:00
								Theater Rigiblick, Zürich (CH)","https://eventfrog.ch/de/p/theater-buehne/theater/ds-lied-vo-de-bahnhoef-7125794233399596584.html"
"1699913746-351","https://eventfrog.ch/de/events.html?sc=events&geoPlace=8000+Z%C3%BCrich&geoLat=47.378834000000005&geoLng=8.537472000000001&geoRadius=5&fromDate=2023-12-1&toDate=2023-12-31&page=50&y=113.5","","7","Anaïs","Donnerstag, 07. Dezember, 20:00","X-TRA, Zürich (CH)","Dez
				7
			
			
			
				Anaïs
									Donnerstag, 07. Dezember, 20:00
								X-TRA, Zürich (CH)","https://eventfrog.ch/de/p/konzert/pop-rock/anais-7107350451708750806.html"
"1699913746-352","https://eventfrog.ch/de/events.html?sc=events&geoPlace=8000+Z%C3%BCrich&geoLat=47.378834000000005&geoLng=8.537472000000001&geoRadius=5&fromDate=2023-12-1&toDate=2023-12-31&page=50&y=113.5","Eventgruppe","21","Open Mic Comedy, Zurich","6 Events","Auer & Co., Zürich (CH)","Tickets
							
							
					Eventgruppe
				
					
		

						
				bis Dez
				21
			
			
			
				Open Mic Comedy, Zurich
									6 Events
								Auer & Co., Zürich (CH)","https://eventfrog.ch/de/p/gruppen/open-mic-comedy-zurich-7100366511944972874.html"
"1699913746-353","https://eventfrog.ch/de/events.html?sc=events&geoPlace=8000+Z%C3%BCrich&geoLat=47.378834000000005&geoLng=8.537472000000001&geoRadius=5&fromDate=2023-12-1&toDate=2023-12-31&page=50&y=113.5","Eventgruppe","4","That's Finta:tainment - Open Stage and Show","6 Events","Miller's Studio, Zürich (CH)","Eventgruppe
				
					
		

						
				bis Jul
				4
			
			
			
				That's Finta:tainment - Open Stage and Show
									6 Events
								Miller's Studio, Zürich (CH)","https://eventfrog.ch/de/p/gruppen/that-s-finta-tainment-open-stage-and-show-7119980825324537126.html"
