web-scraper-order,web-scraper-start-url,link,link-href,name,is_eventgruppe,datetime,location
"1699914567-3862","https://eventfrog.ch/de/events.html?sc=events&fromDate=2023-12-1&toDate=2023-12-31&page=100","Eventgruppe
				
					
		

							
					Dez - Jan
					19 - 30
				
			
			
				Hexe Hillary geht in die Oper
									8 Events
								Theater Winterthur - Foyer, Winterthur (CH)","https://eventfrog.ch/de/p/gruppen/hexe-hillary-geht-in-die-oper-7128881903046747493.html","Hexe Hillary geht in die Oper","Eventgruppe","8 Events","Theater Winterthur - Foyer, Winterthur (CH)"
"1699914567-3863","https://eventfrog.ch/de/events.html?sc=events&fromDate=2023-12-1&toDate=2023-12-31&page=100","Dez
				19
			
			
			
				Unter dem Meer
									Dienstag, 19. Dezember, 10:00
								Schauspielhaus Theater Basel, Basel (CH)","https://eventfrog.ch/de/p/klassik-opern/oper-operette/unter-dem-meer-7119581414366853432.html","Unter dem Meer","","Dienstag, 19. Dezember, 10:00","Schauspielhaus Theater Basel, Basel (CH)"
"1699914567-3864","https://eventfrog.ch/de/events.html?sc=events&fromDate=2023-12-1&toDate=2023-12-31&page=100","Eventgruppe
				
					
		

							
					Dez - Jan
					19 - 14
				
			
			
				Swiss Press Photo
									22 Events
								Château de Prangins, Prangins (CH)","https://eventfrog.ch/de/p/gruppen/swiss-press-photo-7119997403336248539.html","Swiss Press Photo","Eventgruppe","22 Events","Château de Prangins, Prangins (CH)"
"1699914567-3865","https://eventfrog.ch/de/events.html?sc=events&fromDate=2023-12-1&toDate=2023-12-31&page=100","Eventgruppe
				
					
		

							
					Dez - Jan
					19 - 30
				
			
			
				Hexe Hillary geht in die Oper
									8 Events
								Theater Winterthur, Winterthur (CH)","https://eventfrog.ch/de/p/gruppen/hexe-hillary-geht-in-die-oper-7065084979760266415.html","Hexe Hillary geht in die Oper","Eventgruppe","8 Events","Theater Winterthur, Winterthur (CH)"
"1699914567-3866","https://eventfrog.ch/de/events.html?sc=events&fromDate=2023-12-1&toDate=2023-12-31&page=100","Dez
				19
			
			
			
				Gedanken zum Jahresende und dem Neuen Jahr im Botanischen Garten
									Dienstag, 19. Dezember, 12:30
								Botanischer Garten, Zürich (CH)","https://eventfrog.ch/de/p/diverses/gedanken-zum-jahresende-und-dem-neuen-jahr-im-botanischen-garten-7125689050103532785.html","Gedanken zum Jahresende und dem Neuen Jahr im Botanischen Garten","","Dienstag, 19. Dezember, 12:30","Botanischer Garten, Zürich (CH)"
"1699914567-3867","https://eventfrog.ch/de/events.html?sc=events&fromDate=2023-12-1&toDate=2023-12-31&page=100","Dez
				19
			
			
			
				Das Piano
									Dienstag, 19. Dezember, 14:00
								Gleis 21 Kulturhaus Dietikon, Dietikon (CH)","https://eventfrog.ch/de/p/freizeit-ausfluege/film-kino/das-piano-7129798410928852990.html","Das Piano","","Dienstag, 19. Dezember, 14:00","Gleis 21 Kulturhaus Dietikon, Dietikon (CH)"
"1699914567-3868","https://eventfrog.ch/de/events.html?sc=events&fromDate=2023-12-1&toDate=2023-12-31&page=100","Dez
				19
			
			
			
				Seniorenweihnacht
									Dienstag, 19. Dezember, 14:00
								Gemeindesaal, Krattigen (CH)","https://eventfrog.ch/de/p/freizeit-ausfluege/buergertreffen/seniorenweihnacht-7081601895911810563.html","Seniorenweihnacht","","Dienstag, 19. Dezember, 14:00","Gemeindesaal, Krattigen (CH)"
"1699914567-3869","https://eventfrog.ch/de/events.html?sc=events&fromDate=2023-12-1&toDate=2023-12-31&page=100","Dez
				19
			
			
			
				Chlei zäme si - Adväntsgschichte
									Dienstag, 19. Dezember, 14:00
								Gemeinschaftsraum am Dorfplatz, Pieterlen (CH)","https://eventfrog.ch/de/p/diverses/chlei-zaeme-si-advaentsgschichte-7022222812912690579.html","Chlei zäme si - Adväntsgschichte","","Dienstag, 19. Dezember, 14:00","Gemeinschaftsraum am Dorfplatz, Pieterlen (CH)"
"1699914567-3870","https://eventfrog.ch/de/events.html?sc=events&fromDate=2023-12-1&toDate=2023-12-31&page=100","Dez
				19
			
			
			
				Niko Pirosmani (1862–1918)
									Dienstag, 19. Dezember, 15:00
								Fondation Beyeler, Riehen (CH)","https://eventfrog.ch/de/p/fuehrungen-vortraege/fuehrung/niko-pirosmani-18621918-7125065942522920900.html","Niko Pirosmani (1862–1918)","","Dienstag, 19. Dezember, 15:00","Fondation Beyeler, Riehen (CH)"
"1699914567-3871","https://eventfrog.ch/de/events.html?sc=events&fromDate=2023-12-1&toDate=2023-12-31&page=100","Dez
				19
			
			
			
				Zauneidechse - alles in Ordnung?
									Dienstag, 19. Dezember, 15:00
								Naturmuseum, Winterthur (CH)","https://eventfrog.ch/de/p/fuehrungen-vortraege/zauneidechse-alles-in-ordnung-7117990092841382095.html","Zauneidechse - alles in Ordnung?","","Dienstag, 19. Dezember, 15:00","Naturmuseum, Winterthur (CH)"
"1699914567-3872","https://eventfrog.ch/de/events.html?sc=events&fromDate=2023-12-1&toDate=2023-12-31&page=100","Eventgruppe
				
					
		

							
					Nov - Dez
					21 - 19
				
			
			
				MatriSalon
									2 Events
								DenkBar, St.Gallen (CH)","https://eventfrog.ch/de/p/gruppen/matrisalon-7128876863812762215.html","MatriSalon","Eventgruppe","2 Events","DenkBar, St.Gallen (CH)"
"1699914567-3873","https://eventfrog.ch/de/events.html?sc=events&fromDate=2023-12-1&toDate=2023-12-31&page=100","Tickets
							
					
		

						
				Dez
				19
			
			
			
				I am Not Your Negro - KantiKino
									Dienstag, 19. Dezember, 17:30
								Kino Orient, Wettingen (CH)","https://eventfrog.ch/de/p/festivals/film/i-am-not-your-negro-kantikino-7128013421228796843.html","I am Not Your Negro - KantiKino","","Dienstag, 19. Dezember, 17:30","Kino Orient, Wettingen (CH)"
"1699914567-3874","https://eventfrog.ch/de/events.html?sc=events&fromDate=2023-12-1&toDate=2023-12-31&page=100","Eventgruppe
				
					
		

						
				bis Dez
				17
			
			
			
				Sicher durch die Prüfung kommen
									14 Events
								Online-Event","https://eventfrog.ch/de/p/gruppen/sicher-durch-die-pruefung-kommen-7067467586296807337.html","Sicher durch die Prüfung kommen","Eventgruppe","14 Events","Online-Event"
"1699914567-3875","https://eventfrog.ch/de/events.html?sc=events&fromDate=2023-12-1&toDate=2023-12-31&page=100","Tickets
							
					
		

						
				Dez
				19
			
			
			
				J: Морс acoustic concert
									Dienstag, 19. Dezember, 18:00
								OURCLUB, Zürich (CH)","https://eventfrog.ch/de/p/konzert/pop-rock/j-acoustic-concert-7129857409464369675.html","J: Морс acoustic concert","","Dienstag, 19. Dezember, 18:00","OURCLUB, Zürich (CH)"
"1699914567-3876","https://eventfrog.ch/de/events.html?sc=events&fromDate=2023-12-1&toDate=2023-12-31&page=100","Dez
				19
			
			
			
				ICST Artist Talk - Manolo Müller
									Dienstag, 19. Dezember, 18:00
								Zürcher Hochschule der Künste (ZHdK) | 3.D02 / ICST-Kompositionsstudio, Zürich (CH)","https://eventfrog.ch/de/p/fuehrungen-vortraege/podium/icst-artist-talk-manolo-mueller-7122541534910558306.html","ICST Artist Talk - Manolo Müller","","Dienstag, 19. Dezember, 18:00","Zürcher Hochschule der Künste (ZHdK) | 3.D02 / ICST-Kompositionsstudio, Zürich (CH)"
"1699914567-3877","https://eventfrog.ch/de/events.html?sc=events&fromDate=2023-12-1&toDate=2023-12-31&page=100","Tickets
							
					
		

						
				Dez
				19
			
			
			
				ASCW-Weihnachtsshows 2023 Dienstag
									Dienstag, 19. Dezember, 18:00
								Erlenmoossaal, Wollerau (CH)","https://eventfrog.ch/de/p/sport-fitness/sonstige-veranstaltungen/ascw-weihnachtsshows-2023-dienstag-7121782792791253563.html","ASCW-Weihnachtsshows 2023 Dienstag","","Dienstag, 19. Dezember, 18:00","Erlenmoossaal, Wollerau (CH)"
"1699914567-3878","https://eventfrog.ch/de/events.html?sc=events&fromDate=2023-12-1&toDate=2023-12-31&page=100","Dez
				19
			
			
			
				Meine Lehrer


									Dienstag, 19. Dezember, 18:15
								Raum für Literatur, St.Gallen (CH)","https://eventfrog.ch/de/p/fuehrungen-vortraege/meine-lehrer-7126349028581658820.html","Meine Lehrer","","Dienstag, 19. Dezember, 18:15","Raum für Literatur, St.Gallen (CH)"
